cid,Probability of nonactivity,Probability of activity
504751,0.67466146,0.32533854
73351959,0.67478263,0.3252174
90673800,0.67479205,0.32520798
188276,0.67483735,0.32516268
5279532,0.6748921,0.32510787
56671903,0.67498887,0.32501113
86645138,0.675002,0.32499805
453473,0.67588854,0.3241115
21157436,0.6759287,0.32407126
136119103,0.6760055,0.32399452
446940,0.6762529,0.3237471
23629091,0.676658,0.32334203
136260503,0.6768625,0.32313755
135956774,0.6770726,0.32292742
488242,0.67708945,0.32291055
16395540,0.67712,0.32288003
5274286,0.6772249,0.32277516
124296,0.6775661,0.3224339
54285617,0.6775661,0.3224339
5273519,0.67776495,0.32223505
192785,0.6777829,0.32221714
10716626,0.67790806,0.3220919
131879863,0.6782003,0.3217997
301080,0.6782003,0.3217997
21765583,0.6782854,0.32171458
137202792,0.67833865,0.32166135
470049,0.67838573,0.32161427
465094,0.67838573,0.32161427
515212,0.6788379,0.32116207
286012,0.6789291,0.32107088
25049744,0.6792993,0.3207007
454925,0.6793242,0.3206758
5273016,0.6794033,0.32059667
456401,0.6794548,0.32054523
121487870,0.67957425,0.32042575
136238529,0.6797138,0.3202862
90476898,0.6797949,0.32020512
3012550,0.68008363,0.31991634
23260220,0.68023586,0.3197641
71374245,0.6804444,0.31955558
169938,0.6805767,0.3194233
124317,0.68059105,0.31940895
89486753,0.6807463,0.31925368
137208277,0.6807962,0.3192038
135398631,0.6807962,0.3192038
137015000,0.6807962,0.3192038
135407854,0.6808488,0.31915122
137176604,0.6808573,0.31914273
10067373,0.6809577,0.31904233
3007221,0.6812389,0.3187611
163320926,0.68139815,0.31860188
92148590,0.6815675,0.3184325
15954525,0.6815675,0.3184325
44572473,0.6816529,0.31834707
3358362,0.6817206,0.31827936
44432644,0.6817206,0.31827936
131885200,0.6817658,0.31823418
139025115,0.68183947,0.3181605
163284925,0.68195766,0.31804234
459905,0.6820115,0.3179885
512587,0.6820115,0.3179885
137147094,0.6821802,0.31781977
135464486,0.68252593,0.31747407
121487313,0.6825267,0.31747326
515107,0.6825533,0.31744668
256105,0.68281174,0.3171883
12358318,0.68281174,0.3171883
56992563,0.68281174,0.3171883
41211,0.68281174,0.3171883
148033,0.68285745,0.31714255
3012257,0.68331826,0.31668177
453656,0.6833744,0.31662557
131858703,0.6835363,0.31646368
453997,0.6836472,0.31635278
355902,0.6836472,0.31635278
13205977,0.68375385,0.31624615
53642991,0.68375385,0.31624615
13146158,0.6838634,0.3161366
137230633,0.6839689,0.31603113
6474980,0.6841368,0.3158632
512669,0.684361,0.315639
6450926,0.684361,0.315639
460316,0.68437076,0.31562927
3006169,0.6847055,0.3152945
92242775,0.6847055,0.3152945
138375993,0.6847292,0.31527078
137077003,0.68495774,0.31504226
29921448,0.6851436,0.31485638
92231363,0.6851436,0.31485638
6478357,0.6851946,0.31480536
18596452,0.68520975,0.31479025
1838,0.68532205,0.31467798
449599,0.6854265,0.31457356
136217926,0.6854666,0.3145334
121486927,0.6855564,0.31444356
21855711,0.68563676,0.31436324
97305099,0.6858209,0.31417912
135398701,0.68612623,0.31387374
453628,0.68635595,0.31364405
656409,0.68638563,0.31361437
44356940,0.6864015,0.31359848
134694066,0.6864015,0.31359848
93604123,0.6864015,0.31359848
169662,0.6864015,0.31359848
29982328,0.6864015,0.31359848
12042143,0.6864015,0.31359848
92845691,0.6864015,0.31359848
14730263,0.68655354,0.31344646
49784136,0.6865711,0.3134289
135625234,0.68661046,0.31338957
136927403,0.68661046,0.31338957
135460966,0.68661046,0.31338957
504747,0.68661326,0.31338674
121486885,0.6868,0.31319997
132663,0.686875,0.31312498
196324,0.6869387,0.3130613
9842606,0.68706167,0.31293833
481518,0.68709517,0.3129048
512727,0.68718225,0.31281775
134067785,0.68720096,0.31279904
92236361,0.6872035,0.31279647
512130,0.68727577,0.3127242
6858194,0.6875539,0.31244615
5274366,0.68755877,0.31244123
21069732,0.6875757,0.31242433
21145448,0.6879395,0.31206045
511015,0.6880113,0.31198874
49822695,0.6881149,0.31188515
472167,0.68813837,0.31186163
6323540,0.688153,0.31184694
5698,0.688153,0.31184694
92249340,0.6881647,0.31183526
21856771,0.6881647,0.31183526
21140838,0.6882186,0.31178144
129318779,0.68835616,0.31164384
121487869,0.6883848,0.3116152
71340951,0.68890065,0.31109935
452263,0.68890065,0.31109935
58696770,0.6890036,0.31099638
13647253,0.6890036,0.31099638
124297,0.6890036,0.31099638
50313,0.6890036,0.31099638
3012046,0.68904126,0.3109587
150856,0.6891632,0.3108368
6479208,0.68922746,0.31077257
135405252,0.68927,0.31072995
68655403,0.68961716,0.31038284
92252177,0.6901721,0.30982792
53653696,0.69020647,0.30979353
3011535,0.69038534,0.30961466
10893330,0.690413,0.309587
136682650,0.6904493,0.3095507
136260091,0.6904493,0.3095507
129395379,0.6904795,0.30952048
12803302,0.6904795,0.30952048
12803301,0.6904795,0.30952048
56664677,0.69049406,0.30950597
3009936,0.69068635,0.30931363
163285120,0.6908616,0.30913845
21121551,0.6909436,0.30905643
453764,0.6910044,0.30899563
10833407,0.69107604,0.308924
1778309,0.691432,0.30856797
135596618,0.69161546,0.30838454
121487526,0.69175076,0.30824924
49784438,0.69190526,0.30809477
167821,0.69227576,0.3077242
11825687,0.69227684,0.30772313
18658061,0.69232106,0.3076789
171490,0.69244623,0.30755377
512329,0.6925355,0.3074645
121486926,0.69254935,0.30745062
18661221,0.6926398,0.3073602
92230795,0.6926398,0.3073602
3010387,0.6927239,0.30727613
172915,0.69282645,0.30717355
154701266,0.6928286,0.3071714
156589112,0.69292176,0.30707827
10381436,0.69318396,0.30681604
14541353,0.6932914,0.30670854
11461625,0.693301,0.30669898
499786,0.693419,0.306581
135528754,0.6934583,0.3065417
29921449,0.69359875,0.30640128
11697766,0.69397366,0.30602637
29982346,0.69397366,0.30602637
45039581,0.69397366,0.30602637
54109572,0.69413483,0.30586517
11749237,0.69417965,0.30582038
14803116,0.6942131,0.3057869
14803115,0.6942131,0.3057869
6481848,0.69422245,0.30577755
6481847,0.69422245,0.30577755
13375939,0.6942296,0.30577043
135434782,0.6942327,0.30576727
196471,0.69441175,0.30558828
7058165,0.69448334,0.30551666
3039710,0.6944845,0.3055155
469447,0.69456464,0.30543536
453996,0.694715,0.30528498
92279160,0.694715,0.30528498
3012248,0.6947645,0.3052355
131880512,0.6948528,0.30514717
374121,0.6951262,0.30487382
101609,0.6952695,0.30473047
133121258,0.6953281,0.30467188
10317833,0.6953281,0.30467188
126969944,0.6953281,0.30467188
3012253,0.69536316,0.3046368
92262645,0.6954004,0.30459958
131858479,0.6954004,0.30459958
71352076,0.69540477,0.3045952
71410159,0.6954056,0.3045944
3012252,0.6958177,0.30418232
121218308,0.6958271,0.30417284
470067,0.6958399,0.30416012
3000770,0.69584006,0.30415994
71309346,0.695873,0.30412698
121007158,0.696058,0.30394202
196459,0.69624174,0.30375826
5279529,0.6963878,0.30361217
135743934,0.6964122,0.30358776
136232092,0.69645894,0.3035411
121486895,0.69653296,0.30346707
3087115,0.69655097,0.30344903
101947567,0.6966546,0.30334538
9885936,0.69671047,0.30328953
121486830,0.6967516,0.3032484
21117616,0.6968249,0.30317506
117681056,0.6969442,0.30305582
6398509,0.6970506,0.30294943
71440751,0.6970686,0.30293146
481523,0.697286,0.30271396
11290467,0.69730645,0.30269355
471524,0.69734746,0.30265254
5276642,0.6973903,0.30260965
50312,0.6973903,0.30260965
131698258,0.6973903,0.30260965
6131,0.6976307,0.3023693
124170,0.6976307,0.3023693
165421,0.69767916,0.30232084
21124427,0.69767916,0.30232084
117064372,0.69771844,0.30228156
7197058,0.6977644,0.30223563
97445,0.6977644,0.30223563
14408976,0.69780254,0.30219746
15289165,0.6978266,0.30217335
376366,0.6979139,0.30208609
136257878,0.69792724,0.30207276
150959,0.6984338,0.30156618
123134085,0.6984587,0.30154136
159359,0.6984587,0.30154136
5271381,0.6984587,0.30154136
92969927,0.6984587,0.30154136
6443940,0.69863755,0.30136245
46875292,0.6986655,0.30133447
97186,0.6986655,0.30133447
92266371,0.69872725,0.30127278
131878800,0.69872725,0.30127278
92266369,0.69872725,0.30127278
86306492,0.6988938,0.30110618
5274287,0.69899595,0.30100402
14484797,0.6991292,0.3008708
460317,0.69927824,0.3007218
23519658,0.6995349,0.3004651
44283163,0.6997361,0.30026388
96544,0.6997361,0.30026388
12939901,0.6997361,0.30026388
7070208,0.6997361,0.30026388
12939902,0.6997361,0.30026388
2777912,0.6997361,0.30026388
46783463,0.6997361,0.30026388
10521478,0.6997361,0.30026388
688019,0.6997361,0.30026388
515099,0.6997616,0.30023834
98854,0.6998669,0.30013314
92247230,0.6998669,0.30013314
21140449,0.6998669,0.30013314
150983,0.7000546,0.2999454
503109,0.70005727,0.29994276
49784134,0.7000669,0.2999331
135511168,0.7001661,0.29983392
3036983,0.700225,0.29977503
136177058,0.70030665,0.29969332
445132,0.7005696,0.29943037
136238394,0.7005737,0.29942632
174519,0.7006382,0.29936182
71371786,0.7006382,0.29936182
21151277,0.70082927,0.2991707
121487889,0.70093745,0.29906255
515102,0.70095897,0.29904106
21854257,0.7009697,0.2990303
98519907,0.7009697,0.2990303
131883224,0.70107466,0.29892534
137218720,0.7011354,0.29886457
515100,0.70118725,0.29881278
22827178,0.7012627,0.29873732
86592812,0.70129246,0.29870754
3007124,0.70145226,0.29854771
490256,0.7015364,0.29846355
54443874,0.7015734,0.29842663
449405,0.70164645,0.29835358
8642,0.70164645,0.29835358
135567131,0.70170736,0.29829264
14860269,0.70187104,0.29812893
5273520,0.7021923,0.2978077
453829,0.7022603,0.29773968
77520394,0.70228434,0.2977157
452986,0.7023427,0.2976573
139592726,0.70241237,0.29758766
137699081,0.70241237,0.29758766
469441,0.70264095,0.29735905
135511145,0.702733,0.29726702
486175,0.70288765,0.29711238
89486751,0.70305324,0.29694676
301081,0.7032429,0.29675713
24773090,0.7032429,0.29675713
10778362,0.70325077,0.29674923
128656,0.70339215,0.29660788
18645122,0.70341384,0.29658613
131885345,0.7035184,0.2964816
121487327,0.70361996,0.29638
90477183,0.70369065,0.29630932
511990,0.7037649,0.29623505
10660693,0.7038262,0.29617378
450447,0.70409167,0.29590833
10827042,0.7041265,0.2958735
320720,0.7041564,0.29584357
136250551,0.70417994,0.29582006
14999718,0.704216,0.295784
136217255,0.70443666,0.2955633
136262592,0.70443666,0.2955633
9862222,0.70449454,0.29550546
5279534,0.70452595,0.29547405
57375625,0.70457053,0.29542947
10831407,0.7046935,0.2953065
118796809,0.7047066,0.2952934
136387048,0.7048141,0.29518595
25632117,0.70499945,0.29500055
65050,0.70499945,0.29500055
57113422,0.70499945,0.29500055
51571861,0.70499945,0.29500055
156583186,0.7052065,0.29479346
21089,0.7052065,0.29479346
188319,0.7052951,0.29470488
15217941,0.7052951,0.29470488
3012564,0.7053226,0.2946774
133458,0.705425,0.294575
