cid,SAscore,WiA_D/Dt,J_D/Dt,GATS3m,P_VSA_charge_1,QED,CATS2D_04_LL,JGI8,F04[O-O],HVcpx,nR=Cs,JGI9,Eta_B,CATS2D_02_AL,Eta_B_A,CATS2D_08_DL,GATS2m,minssNH,CATS2D_04_AA,GATS4m,max_conj_path,MATS4e,GGI4,VE2sign_B(p),Eig06_EA(bo),nCconj,P_VSA_ppp_D,MATS1m,CENT,MaxssssC,GATS7m
5153.0,0.2387319046241488,0.4202175056201109,0.1353596792016051,0.5375658357696219,0.1282925291768932,0.5540984221348079,0.0727272727272727,0.3406424581005581,0.0,0.5964775518463227,0.2,0.3145846958796604,0.2589576550465861,0.21875,0.3234983087158473,0.1428571428571428,0.5540180433141565,0.759761171290301,0.0,0.5555059196760878,0.2142857142857142,0.2851380264024741,0.2399410858940886,0.2469397666153738,0.8665108222253151,0.3076923076923077,0.1421962043018225,0.6981449595316862,0.0718199443648318,0.938186363250434,0.4823461484831071
5154.0,0.5903725645677181,0.2322747437641403,0.1622005909100254,0.5874231304861289,0.0590511255064855,0.4424536233481632,0.1818181818181818,1.0,0.125,0.318896287957742,0.1,0.0,0.2714797988520221,0.25,0.5253631307550554,0.0,0.6123358501129919,0.0,0.125,0.5551456268872781,0.0,0.4610082209652713,0.2789716810604543,0.087059872461511,0.7139779043930186,0.0,0.0,0.5524973070918789,0.0198516395515468,0.931921187715576,0.4645113109234251
5303.0,0.3783322171001599,0.3114837832477345,0.1408467645355636,0.518379621142498,0.0609020957466326,0.5836884842404861,0.0363636363636363,0.2955723571121615,0.0,0.5914453532568399,0.0,0.3202984279243276,0.1969784948212966,0.1875,0.2679806471787745,0.0952380952380952,0.6328676828765049,0.0,0.125,0.4699219653403124,0.2321428571428571,0.4461727445896064,0.1766753698868581,0.028053395707944,0.8556071495438893,0.0,0.0393257142132632,0.5164759406081756,0.0522211919413301,0.938186363250434,0.4692615787362549
5396.0,0.4615816752120419,0.2176924070527314,0.2164702814009921,0.3798844891826351,0.2151030236210614,0.6275666837361219,0.2727272727272727,0.3658623558778092,0.0,0.5232585153066777,0.0,0.2987246566383263,0.5562289113352694,0.25,0.5687311183439998,0.0952380952380952,0.5742750284097277,0.978287492775401,0.0,0.3636984139215536,0.1071428571428571,0.479598854068284,0.3711588672424187,0.028586215025895,0.7864232712469266,0.0,0.0421962043018225,0.3019389762820508,0.3100396189833937,0.938186363250434,0.3124553451278161
5614.0,0.3432914831919419,0.6509776691787172,0.1002498962976965,0.3615446875213602,0.1051301838450238,0.5057210661116924,0.7090909090909091,0.2898455471574104,0.0,0.5203484481797928,0.4,0.1750599520383697,0.3251413451238602,0.375,0.3525810900238325,0.0,0.5632618376671216,0.0,0.0,0.4046156393151449,0.3571428571428571,0.3762338779103448,0.1488920131217788,0.0123297157469457,0.8360387069757185,0.5384615384615385,0.0,0.3648637319592072,0.3064991991907612,0.938186363250434,0.2294338970114115
5790.0,0.6199614267389894,0.2849154526660734,0.1799638300498522,0.5586253669643287,0.1551143838060532,0.4187598718088037,0.109090909090909,0.5713560182833912,0.25,0.357418996556514,0.1,0.0,0.3251814012296993,0.28125,0.4929254905536857,0.0476190476190476,0.5961614678278914,0.0,0.25,0.4986290007081952,0.0,0.4803194502548757,0.386222132958426,0.0615771735472697,0.7806428014192348,0.0,0.0999999999999999,0.4967516963541077,0.0378487734974289,0.8506109365599761,0.4586474730539235
6084.0,0.5903725645677181,0.2322747437641403,0.1622005909100254,0.5874231304861289,0.0590511255064855,0.4424536233481632,0.1818181818181818,1.0,0.125,0.318896287957742,0.1,0.0,0.2714797988520221,0.25,0.5253631307550554,0.0,0.6123358501129919,0.0,0.125,0.5551456268872781,0.0,0.4610082209652713,0.2789716810604543,0.087059872461511,0.7139779043930186,0.0,0.0,0.5524973070918789,0.0198516395515468,0.931921187715576,0.4645113109234251
6099.0,0.7323620136647443,0.1720545486002533,0.3594364632634682,0.4964088714426244,0.3645693246961087,0.2677122927577563,0.1818181818181818,0.5729945006983239,0.0625,0.4724991212070749,0.1,0.4624349902793824,0.5282139228650526,0.34375,0.5737318458684274,0.1904761904761904,0.5401320849340108,0.0,0.0625,0.4801066271369865,0.0714285714285714,0.3417602128939796,0.6723572337149366,0.1520583021012171,0.855854101333372,0.2307692307692307,0.4000000000000003,0.4183151202378284,0.0772991654724774,0.7806403416001542,0.4830603365416523
6185.0,0.3111270754787518,0.4997780471753912,0.0751213067439954,0.5173293516525417,0.0,0.8679245371943239,0.109090909090909,0.4572276536312841,0.0,0.4302707346498732,0.6000000000000001,0.3215560884625637,0.0980491985305411,0.09375,0.2544579617729108,0.0,0.6029407998953984,0.0,0.0,0.6638514678752361,0.1428571428571428,0.3780977242703721,0.0868983062194553,0.1833426368992938,0.6521494844531572,0.6153846153846154,0.0,0.4783607784618381,0.0135716092050914,0.938186363250434,0.605057262896421
6197.0,0.4351967846990462,0.10614984226298,0.2889816347378373,0.4791447126728333,0.1157469668017295,0.8357114023212429,0.109090909090909,0.5154067737430155,0.25,0.3576147652880982,0.0,0.2697841726618708,0.2187688658704494,0.375,0.4077644099407067,0.0476190476190476,0.5230258394746885,0.0,0.25,0.3949766758151191,0.2142857142857142,0.5788277445566427,0.2843275088705909,0.1361712911685988,0.7242863959696598,0.3076923076923077,0.0999999999999999,0.4176461194743471,0.019472308859479,0.938186363250434,0.5954744103739629
