cid,JGI4,ChiA_B(e),GATS7m,MATS1i,SpMAD_EA(ri)
5396.0,0.4311059907834107,0.4307637983681096,0.3124553451278161,0.5863319927819525,0.4834532144847219
5614.0,0.1631578947368426,0.4680649775709846,0.2294338970114115,0.501029728920082,0.4352929603845146
5790.0,0.5169805194805198,0.2895419941845576,0.4586474730539235,0.5993989417152618,0.6724046580654948
6084.0,0.5543703007518798,0.286423022214624,0.4645113109234251,0.6088654950215364,0.7381034792308658
6099.0,0.5565137987012992,0.2179416362962722,0.4830603365416523,0.7032980134359516,0.8210162094279041
6185.0,0.3712406015037596,0.3186045743062871,0.605057262896421,0.6875160674570597,0.4767238525484676
6197.0,0.478774350649351,0.154353863964904,0.5954744103739629,0.673564241676168,0.7403782710039106
6245.0,0.3300324675324675,0.6649661642940878,0.0866013293067569,0.6212167057580038,0.5127500918364238
6253.0,0.3942307692307697,0.2082353740041931,0.4150433246221426,0.5579778884067196,0.4748519633123464
6763.0,0.3105042016806725,0.2675707229243169,0.1473397457983466,0.6119425950020819,0.6782130739102588
6769.0,0.2131147540983611,0.2688004668427135,0.2913772252435564,0.6787589560295293,0.5762552356066766
6796.0,0.4760714285714292,0.3372795899502421,0.3912567895042548,0.7108168005023443,0.7066678760655178
6842.0,0.4757142857142858,0.2305408641251665,0.3923914776643389,0.6496878978253605,0.6610388095288267
7085.0,0.4311059907834107,0.4319244701176363,0.3138663007534379,0.5541060498326467,0.4834532144847219
7578.0,0.1758928571428578,0.2374749816585506,0.3033131003881514,0.5110564571827347,0.5500156856079683
8467.0,0.328571428571429,0.3287033009875326,0.4261709453301205,0.6614864407227203,0.4801065522834729
8975.0,0.331038961038961,0.1426128954222281,0.1733415578673602,0.5476144887226814,0.5970728133429413
9283.0,0.3250000000000002,0.6854077391761071,0.0824784350053681,0.6225579482880089,0.501843032461482
9444.0,0.3894102990033226,0.1302992884062597,0.3998452115348788,0.6557265314739642,0.5567716356181687
10662.0,0.28968253968254,0.2113449457077894,0.3235681142577353,0.7017386234015525,0.631905862976383
11293.0,0.1981566820276496,0.3713923695289041,0.3877980522159869,0.4809610126383743,0.2940907347731682
11352.0,0.3796798029556654,0.5910557223895858,0.0681619189812265,0.6164573855228419,0.5633696152056307
12456.0,0.3547619047619047,0.2602233902497817,0.4314545191387552,0.5001880149116513,0.4721671729975387
14710.0,0.3018245341614916,0.134950980425796,0.2762450797921951,0.594044397625578,0.5999604173938953
15478.0,0.2061224489795921,0.4058525478652526,0.6316839978782688,0.539534077240402,0.3571045674535527
16955.0,0.4881336405529954,0.3237973240969674,0.3912758581661584,0.7574651341810542,0.6981286338068156
17201.0,0.3416836734693886,0.131490644172886,0.2719797881832554,0.5722054349393608,0.5887268459815744
18283.0,0.4424698795180722,0.3189926820141924,0.4066692532495119,0.652871140881544,0.7487432422168636
19103.0,0.4713106469002692,0.3758054677469786,0.4066891948881978,0.6659924358134118,0.670300908355006
20345.0,0.3074423963133637,0.4514134901656423,0.3985830932439156,0.4250719867212491,0.5338922608799579
21436.0,0.4594720496894412,0.3358229896486628,0.436919622261339,0.6566494821594346,0.7725256619354419
22324.0,0.42706043956044,0.3789829236140205,0.3985281298430942,0.6739576473415735,0.6816595469151587
23205.0,0.3845408163265311,0.1354174572937556,0.5789955239022111,0.5405196081949695,0.3150994036939107
24466.0,0.3193396226415101,0.3347133882997402,0.3726593190780918,0.5138252240557155,0.5546932127689375
26964.0,0.2573412698412699,0.2608098525642006,0.4199697714469334,0.5788816206453108,0.416867617866862
32875.0,0.3547619047619047,0.2647085553064681,0.3764580103313584,0.700325233227613,0.4337258802812997
