cid,Probability of nonactivity,Probability of activity
21852789,0.5027418,0.49725822
20832934,0.50274205,0.49725792
131855105,0.5027454,0.49725464
189148,0.50274634,0.4972537
135708260,0.5027585,0.49724153
136006897,0.5027585,0.49724153
135407175,0.5027585,0.49724153
25074417,0.50275916,0.49724084
446725,0.5027593,0.49724072
23263706,0.5027633,0.49723676
122129480,0.50277096,0.49722904
136706893,0.50277257,0.4972274
515111,0.5027766,0.49722338
149097,0.50277877,0.4972212
452990,0.502781,0.49721903
488241,0.50278306,0.4972169
10754286,0.5027933,0.49720666
126969957,0.5027933,0.49720666
405420,0.5027933,0.49720666
176885,0.5027933,0.49720666
131852022,0.50279427,0.4972057
66623225,0.50279605,0.49720395
452893,0.50280267,0.49719733
5278277,0.5028036,0.49719638
54424807,0.5028045,0.49719545
5274367,0.5028156,0.49718437
490390,0.5028174,0.4971826
11290467,0.5028182,0.49718177
137218731,0.5028195,0.49718052
121487525,0.5028204,0.49717966
511990,0.5028217,0.49717835
6482480,0.50282264,0.49717736
191831,0.50282264,0.49717736
12940782,0.50282264,0.49717736
135506203,0.5028278,0.49717218
5287975,0.502833,0.497167
137699516,0.5028472,0.49715278
121216596,0.5028535,0.4971465
575855,0.50285625,0.49714372
13989306,0.50285625,0.49714372
15979428,0.5028564,0.4971436
488240,0.50286174,0.4971383
5274366,0.5028671,0.49713287
139025108,0.5028684,0.49713156
121487343,0.50287104,0.49712896
121487344,0.50287104,0.49712896
136232965,0.5028769,0.49712315
9795336,0.50287724,0.49712273
149101,0.5028783,0.49712172
161746,0.5028837,0.49711636
445132,0.5028849,0.49711508
3087115,0.50288975,0.49711025
136177058,0.50288975,0.49711025
101039156,0.5028906,0.4971094
154703288,0.5028952,0.49710482
9950702,0.50289685,0.49710315
121487529,0.50290287,0.49709716
117064372,0.5029038,0.4970962
21668257,0.50290465,0.49709538
194102,0.5029064,0.49709362
90356982,0.50290704,0.49709296
163203169,0.5029081,0.49709186
53775732,0.50291264,0.49708733
136806184,0.502913,0.49708703
167877,0.50291634,0.49708366
21117199,0.50291723,0.49708277
453829,0.50291884,0.49708113
10107793,0.50292146,0.49707854
92249433,0.50292146,0.49707854
21139624,0.50292313,0.4970769
53965194,0.50292313,0.4970769
14558097,0.50292337,0.49707666
92043551,0.5029265,0.49707347
121487515,0.5029265,0.49707347
92236380,0.5029342,0.4970658
131876195,0.5029342,0.4970658
9562214,0.5029342,0.4970658
5278280,0.50293446,0.49706557
155903791,0.50293654,0.49706346
45356795,0.5029383,0.4970617
643973,0.5029383,0.4970617
6029,0.5029383,0.4970617
46780471,0.5029383,0.4970617
11064619,0.5029383,0.4970617
7059439,0.5029383,0.4970617
7059437,0.5029383,0.4970617
89495556,0.5029383,0.4970617
18323,0.5029383,0.4970617
126969140,0.5029385,0.49706152
71772549,0.5029385,0.49706152
10377200,0.5029396,0.4970604
10848780,0.5029434,0.49705663
10684201,0.50294596,0.49705404
102063598,0.5029497,0.49705026
92144824,0.5029515,0.4970485
99681,0.5029515,0.4970485
131882910,0.5029515,0.4970485
76973629,0.5029522,0.49704778
71352407,0.5029526,0.49704745
3081042,0.5029526,0.49704745
6450927,0.5029527,0.49704733
13940600,0.5029541,0.4970459
135583321,0.5029561,0.4970439
5272753,0.5029595,0.49704048
14862322,0.50296134,0.49703866
121006760,0.5029621,0.4970379
121487065,0.5029627,0.49703732
14862330,0.50296426,0.4970357
151772,0.50296587,0.49703413
135524757,0.5029666,0.49703342
20575885,0.50296664,0.49703336
135461724,0.5029683,0.49703166
25074416,0.50296926,0.49703076
3005547,0.50297046,0.49702954
121487358,0.5029723,0.4970277
146013455,0.50297564,0.49702436
21788887,0.5029781,0.49702188
76282776,0.5029782,0.49702182
137198957,0.5029852,0.49701482
101384428,0.5029873,0.49701267
137185205,0.50298893,0.49701104
21140290,0.50299144,0.49700856
14428908,0.5029944,0.49700555
121487282,0.5029948,0.49700525
150201,0.50300014,0.49699986
6438371,0.50300014,0.49699986
6440124,0.50300014,0.49699986
131883271,0.5030042,0.49699584
176869,0.50300765,0.49699232
3005554,0.5030173,0.49698272
511997,0.50301826,0.4969817
165148,0.50301933,0.49698067
478561,0.5030205,0.49697948
136238529,0.5030217,0.49697828
440429,0.50302523,0.49697477
510576,0.50302964,0.49697036
3005552,0.5030304,0.49696958
131881305,0.503031,0.49696898
512668,0.5030322,0.49696776
6450920,0.5030322,0.49696776
100935581,0.5030349,0.4969651
10125531,0.50303686,0.4969631
54531183,0.50303686,0.4969631
124561689,0.50303686,0.4969631
92970665,0.50303864,0.49696133
512137,0.5030396,0.4969604
56609687,0.50303966,0.49696034
76974063,0.5030407,0.49695933
516467,0.50304365,0.49695632
71356777,0.5030461,0.4969539
124430633,0.5030491,0.49695092
124430634,0.5030491,0.49695092
10800485,0.50305223,0.4969478
3005553,0.50305945,0.49694055
14367018,0.50306034,0.49693966
3005555,0.50306153,0.49693844
9878094,0.5030739,0.49692613
511984,0.50307536,0.4969246
193091,0.50307596,0.496924
6475206,0.5030761,0.49692395
6479898,0.5030761,0.49692395
472166,0.5030761,0.49692395
23519671,0.50307703,0.49692294
135602243,0.50307965,0.49692035
135625322,0.50307965,0.49692035
57357987,0.50308293,0.49691707
45038133,0.5030832,0.49691677
13096956,0.5030832,0.49691677
7458589,0.5030832,0.49691677
3005550,0.5030841,0.49691588
121487134,0.503085,0.496915
136842926,0.5030873,0.49691272
