,coef
P_VSA_v_3,0.000193009772335649
P_VSA_e_1,-0.00020407339607766083
P_VSA_e_2,0.00022260834345013444
P_VSA_e_3,0.004619319849218982
P_VSA_e_4,-0.0027566533635364036
P_VSA_e_5,0.0006719400395533751
P_VSA_p_1,-0.00011379955776192717
P_VSA_p_3,0.0011415405968054795
P_VSA_i_1,0.004787903923282818
P_VSA_i_3,-7.983777494815338e-05
P_VSA_s_2,-0.00026061553836017584
P_VSA_s_5,-0.0028230696656543135
P_VSA_s_6,0.0033344896336205414
P_VSA_ppp_L,0.00026324054246838714
P_VSA_ppp_P,0.0022591764449639193
P_VSA_ppp_N,0.0034517332019070534
P_VSA_ppp_D,-0.0015603139238785555
P_VSA_ppp_A,-0.002599339948121688
P_VSA_ppp_ar,-0.0012381811953367094
P_VSA_ppp_hal,-0.00016635225117106022
P_VSA_ppp_cyc,0.0007152532591548057
P_VSA_ppp_ter,0.001175995675953091
P_VSA_charge_1,0.001114109975592325
P_VSA_charge_2,0.0025576516225885386
P_VSA_charge_3,-0.0007189125074392173
P_VSA_charge_4,4.819535632292214e-05
P_VSA_charge_5,-0.0012996448170635862
P_VSA_charge_6,-0.000732238809302528
P_VSA_charge_7,-0.0012807661164760203
P_VSA_charge_8,-1.8470085504948483e-05
P_VSA_charge_9,0.00027403865257947103
P_VSA_charge_10,0.0031052800799505754
P_VSA_charge_11,-0.00782291935904223
P_VSA_charge_13,0.002157809573451764
P_VSA_charge_14,-0.013987438245000296
SpAD_EA(ed),-3.31488481085867e-05
SpDiam_EA(dm),0.000972072682714311
SpAD_EA(dm),-0.02034999777701545
Chi1_EA(dm),0.006587880380291175
SM07_EA(dm),-0.0002499094609465484
SM11_AEA(dm),-0.012901067925863666
SM03_AEA(ri),-0.0020112854794834783
Eig02_EA(ed),-0.0010927450915388776
Eig08_EA(ed),-8.81656719761922e-05
nCs,-0.011227956215596633
nCrs,-0.0047537990934712285
C-002,-0.0009224093174324818
H-046,0.009516861924063834
H-051,-0.004215419118234566
SssCH2,-0.02066931768784133
SdO,0.006407218864092071
SaaO,-0.006267789269087122
minsOH,-0.00028883188809407514
mindO,0.0058979962160779125
minssO,-0.009379834354006336
minsCl,0.0012625766621944458
MaxaaN,0.006775225704129784
CATS2D_02_DL,0.003771384474226202
CATS2D_04_DL,0.010312304097542338
CATS2D_03_AA,0.004796642054256494
CATS2D_06_AA,0.015027687009806067
CATS2D_09_AA,0.0015415077899500866
CATS2D_08_AP,-0.008831260500760413
CATS2D_04_AL,0.004268886280736271
CATS2D_05_AL,-0.00881145031006097
CATS2D_06_AL,-0.001972631581204924
CATS2D_09_AL,-0.005807077011555191
