cid,Probability of nonactivity,Probability of activity
24769759,0.5480262,0.45197383
25051804,0.5480262,0.45197383
145705996,0.5480262,0.45197383
134067785,0.5481569,0.45184308
386500,0.54873765,0.45126235
54194934,0.54884887,0.4511511
6479899,0.549886,0.45011398
125352184,0.5499503,0.4500497
12067880,0.5508263,0.4491737
13833654,0.5510336,0.4489664
451458,0.5510336,0.4489664
3007223,0.5512707,0.44872925
4612204,0.55230045,0.44769958
451374,0.55230045,0.44769958
452962,0.55260074,0.4473993
122650,0.55260074,0.4473993
454738,0.55270517,0.4472948
121487527,0.5538256,0.44617435
21147325,0.55447626,0.4455237
10850176,0.5556135,0.4443865
6450927,0.55635214,0.4436479
460320,0.55659235,0.44340762
6334181,0.5570104,0.44298956
121487417,0.5571102,0.44288978
71302904,0.5587879,0.44121212
504749,0.55903876,0.4409612
10040688,0.5591387,0.44086128
11501773,0.55940443,0.44059557
60122232,0.55985725,0.44014272
59844438,0.55985725,0.44014272
500902,0.55985725,0.44014272
13871035,0.55985725,0.44014272
13871033,0.55985725,0.44014272
44316328,0.55985725,0.44014272
92845515,0.55985725,0.44014272
71621351,0.5601948,0.4398052
493439,0.56025565,0.43974438
15036533,0.56029314,0.43970686
57097210,0.56029314,0.43970686
90176383,0.56029314,0.43970686
146979,0.56050605,0.43949395
3007777,0.56050605,0.43949395
3010388,0.56111616,0.43888384
46875339,0.56111616,0.43888384
92246571,0.56111616,0.43888384
22791353,0.56215286,0.43784714
6439549,0.56245553,0.43754447
20839332,0.56245553,0.43754447
133332,0.56245553,0.43754447
135538675,0.56255573,0.43744427
476458,0.5625955,0.43740448
183242,0.5627401,0.43725994
3007909,0.56278217,0.43721783
14367030,0.5629015,0.43709853
15928623,0.56301916,0.43698087
477950,0.5635636,0.4364364
10716626,0.56481767,0.43518233
469090,0.56528205,0.43471795
149295,0.5653266,0.43467343
6479135,0.5653266,0.43467343
6440090,0.5653266,0.43467343
137195841,0.56598055,0.43401945
121487067,0.5664719,0.43352813
3000303,0.56699955,0.43300042
3000242,0.56699955,0.43300042
124396689,0.56711215,0.43288785
65563,0.5680721,0.4319279
121698,0.56963384,0.43036613
13052734,0.56963384,0.43036613
91525741,0.5696355,0.4303645
21115140,0.5696876,0.43031237
13590781,0.5696876,0.43031237
10777654,0.5696876,0.43031237
71314901,0.5696876,0.43031237
72327,0.5696876,0.43031237
11065206,0.5696876,0.43031237
44289645,0.5696876,0.43031237
5270576,0.5696876,0.43031237
160155,0.5697652,0.4302348
12805651,0.5697652,0.4302348
71394590,0.5704572,0.42954278
15957045,0.5704802,0.42951974
22792111,0.5704814,0.42951855
354624,0.57085323,0.4291468
9882903,0.57085323,0.4291468
453782,0.5711748,0.4288252
6483433,0.571314,0.428686
455763,0.5713531,0.42864692
480265,0.5715693,0.4284307
13845027,0.5725786,0.4274214
588153,0.5725786,0.4274214
135409780,0.5726937,0.42730626
6478491,0.5737065,0.42629346
100416,0.57406014,0.42593986
453473,0.57579225,0.42420775
21147181,0.57630986,0.42369014
24867261,0.57630986,0.42369014
20279,0.57630986,0.42369014
44633776,0.57642895,0.42357105
92021270,0.57642895,0.42357105
9794951,0.57662606,0.42337397
14862326,0.5770297,0.42297032
132274323,0.5780475,0.4219525
3011897,0.5780903,0.42190972
71422951,0.5791565,0.42084345
508215,0.57954353,0.42045647
12018568,0.5798367,0.42016324
12097724,0.58108103,0.418919
464373,0.5811269,0.4188731
464378,0.5812485,0.41875148
460317,0.5816766,0.41832343
126567807,0.5818494,0.4181506
476450,0.58210874,0.41789123
56664677,0.5824318,0.41756818
14284094,0.58273375,0.41726628
481523,0.58291066,0.41708937
464376,0.58369994,0.41630006
15719357,0.5841044,0.4158956
5272907,0.5841161,0.4158839
14430116,0.5842005,0.41579953
100938413,0.5843135,0.4156865
11666177,0.5847614,0.41523865
15612799,0.5851035,0.4148965
451572,0.58526105,0.41473895
135410302,0.5852763,0.4147237
6479143,0.58544326,0.4145567
121486817,0.5856499,0.4143501
452132,0.5858207,0.41417933
101644650,0.585852,0.41414794
71442569,0.58587754,0.41412243
460316,0.58659494,0.41340506
476439,0.5867622,0.41323778
464374,0.5869303,0.41306975
86645125,0.58710015,0.41289982
56612070,0.5871861,0.4128139
9795336,0.58757603,0.41242397
11161826,0.58780324,0.41219673
452986,0.5884502,0.4115498
476457,0.58855283,0.41144717
10516095,0.5892219,0.4107781
453641,0.5894109,0.41058907
137937484,0.5895883,0.41041172
14061175,0.5895883,0.41041172
53833608,0.5900769,0.40992305
512590,0.5907116,0.4092884
14237009,0.5910363,0.4089637
3011898,0.5912305,0.40876952
137221138,0.59163725,0.40836275
67447429,0.59181666,0.4081833
135506574,0.59231377,0.40768626
451527,0.5933464,0.40665358
71773082,0.5936847,0.40631533
10754286,0.5938302,0.40616977
405420,0.5938302,0.40616977
126969957,0.5938302,0.40616977
176885,0.5938302,0.40616977
512003,0.5938507,0.40614933
9996041,0.5941142,0.40588582
10266797,0.5942818,0.40571818
135741933,0.59450704,0.40549296
10357410,0.5957884,0.40421158
131858702,0.59593546,0.40406457
127931,0.5966393,0.40336075
379817,0.5983118,0.4016882
190488,0.5983118,0.4016882
139024710,0.5985624,0.40143758
13845018,0.5985624,0.40143758
124683,0.5985624,0.40143758
13845019,0.5985624,0.40143758
163285680,0.5986148,0.40138516
11140845,0.5986148,0.40138516
129350,0.5986148,0.40138516
9943400,0.5986152,0.40138477
15928727,0.5986152,0.40138477
44626655,0.59929526,0.40070474
493452,0.6003084,0.39969158
470030,0.6004738,0.39952618
131877226,0.6004962,0.3995038
6479146,0.6006797,0.3993203
498021,0.6007408,0.39925918
121487126,0.6007408,0.39925918
121487130,0.6007408,0.39925918
125544,0.6007855,0.3992145
3035713,0.60088074,0.39911923
139025758,0.60163903,0.39836094
453830,0.60191405,0.39808598
101254702,0.60203135,0.39796862
135407853,0.6020689,0.39793107
136842876,0.6020689,0.39793107
135508096,0.60211957,0.3978804
53795348,0.60217357,0.39782643
67771073,0.60217357,0.39782643
102381563,0.60223377,0.39776623
453180,0.6030328,0.39696717
121487526,0.6030408,0.3969592
71414969,0.6034082,0.39659178
11580280,0.6036285,0.39637148
10039594,0.60367835,0.39632168
131881042,0.6039647,0.39603528
14503009,0.6049338,0.3950662
453034,0.6049338,0.3950662
122625,0.6049338,0.3950662
469442,0.6059412,0.39405885
152488,0.6067806,0.3932194
3005959,0.60739034,0.39260966
451453,0.6077099,0.3922901
29921449,0.60801476,0.39198524
12009657,0.60840005,0.39159995
475377,0.608883,0.39111698
122622,0.6101017,0.3898983
12097725,0.6103362,0.38966382
14604625,0.61066467,0.38933533
5274212,0.61085194,0.38914806
135482132,0.61110306,0.38889694
6481236,0.6116634,0.3883366
57453628,0.6116634,0.3883366
124223848,0.6116634,0.3883366
374108,0.6119263,0.38807365
9900146,0.6119263,0.38807365
6913097,0.612406,0.38759398
512718,0.6125698,0.38743022
5274085,0.61356354,0.38643646
22880803,0.61367565,0.38632435
512605,0.61372954,0.38627046
6479209,0.61372954,0.38627046
92252649,0.6145203,0.38547966
97675,0.6145203,0.38547966
92252648,0.6145203,0.38547966
21676639,0.61456144,0.38543856
6450944,0.61468536,0.38531464
128359,0.61522865,0.38477135
5276644,0.6154293,0.3845707
514806,0.6154293,0.3845707
23317974,0.6154293,0.3845707
136226316,0.6156496,0.38435042
136242431,0.6156496,0.38435042
128650,0.6156496,0.38435042
178714,0.6156496,0.38435042
18641862,0.616768,0.383232
13871050,0.61686516,0.38313487
503304,0.6171999,0.38280013
64979,0.61746275,0.38253722
3010386,0.61748093,0.38251907
6481578,0.618331,0.38166898
188967,0.618331,0.38166898
11277569,0.61891973,0.38108024
121487869,0.6199625,0.3800375
107988,0.6203019,0.3796981
135602220,0.6216694,0.37833062
500903,0.62220985,0.37779015
137705912,0.62220985,0.37779015
13830457,0.62220985,0.37779015
58463530,0.62220985,0.37779015
49779988,0.6223495,0.37765053
137147094,0.6229477,0.37705228
135627630,0.62343067,0.37656933
44237263,0.62367195,0.37632805
12898167,0.62367195,0.37632805
107461,0.62367195,0.37632805
83533,0.62367195,0.37632805
3011900,0.6237699,0.37623015
514819,0.6251676,0.3748324
516466,0.6257558,0.3742442
73312146,0.6257941,0.3742059
129317836,0.62623554,0.37376446
11514721,0.62623554,0.37376446
10249185,0.62623554,0.37376446
132283238,0.62623554,0.37376446
22880806,0.6262904,0.37370962
358368,0.62648195,0.37351805
23629091,0.626617,0.373383
451394,0.6272985,0.37270153
484806,0.6273267,0.3726733
6509777,0.6275095,0.3724905
136434268,0.6278139,0.37218612
10778285,0.6278229,0.3721771
89998825,0.6278229,0.3721771
132073959,0.6278229,0.3721771
131887892,0.6280427,0.37195727
453025,0.628502,0.37149802
453020,0.628502,0.37149802
121487046,0.6289105,0.37108952
135410239,0.62914056,0.37085944
44304177,0.6294601,0.3705399
118705321,0.6300069,0.3699931
514818,0.63075924,0.36924073
504747,0.63077044,0.36922953
452680,0.631799,0.368201
477015,0.63212854,0.36787146
5276959,0.6322019,0.3677981
135659015,0.6323575,0.36764252
95730862,0.6323664,0.3676336
121487870,0.63245475,0.36754525
126968624,0.6325904,0.36740956
21854299,0.6325904,0.36740956
10445677,0.6326543,0.3673457
71354328,0.6326543,0.3673457
15081290,0.6328468,0.36715323
148264,0.633893,0.36610702
14444210,0.63423675,0.36576325
451821,0.63423675,0.36576325
186930,0.63437414,0.36562583
5271785,0.6345099,0.36549008
121216262,0.6351917,0.36480832
451876,0.6352037,0.36479625
454163,0.6352143,0.3647857
19989149,0.6352143,0.3647857
135457959,0.635327,0.364673
135483717,0.635327,0.364673
487685,0.63538957,0.36461043
91150325,0.6357553,0.3642447
135991622,0.636313,0.36368698
90674669,0.636327,0.36367294
476438,0.6363422,0.36365777
136250325,0.6369655,0.36303446
13830101,0.6371152,0.36288482
358367,0.63715684,0.36284313
67113473,0.6373083,0.3626917
9900206,0.6374933,0.3625067
64978,0.6375828,0.3624172
14030964,0.6375828,0.3624172
336967,0.6381657,0.36183426
58078371,0.63847315,0.36152682
101114242,0.63849825,0.36150175
481522,0.63936436,0.36063564
512591,0.63942254,0.36057743
18658703,0.63981944,0.36018056
14409040,0.6399275,0.36007252
44593585,0.64016676,0.3598332
464603,0.640455,0.35954496
6481582,0.64115906,0.35884097
182378,0.6411673,0.35883275
5273627,0.6411839,0.3588161
5271956,0.64122033,0.3587797
66906535,0.6412544,0.35874557
147146,0.64165735,0.35834265
71621663,0.64215094,0.35784906
3007132,0.64261425,0.35738572
511995,0.6426343,0.35736576
512719,0.6431866,0.35681337
50987538,0.6431866,0.35681337
135433653,0.6434533,0.3565467
453195,0.6436167,0.35638332
101335355,0.6436235,0.3563765
14258187,0.6447216,0.35527834
92280929,0.6451061,0.35489392
487684,0.6453836,0.35461643
6573798,0.6457914,0.35420856
453467,0.6457914,0.35420856
21118337,0.6457914,0.35420856
108074,0.6457914,0.35420856
10922698,0.6457914,0.35420856
512725,0.6461019,0.3538981
452682,0.64628315,0.35371685
5271957,0.6462867,0.3537133
476465,0.6463686,0.35363135
9835398,0.6464008,0.35359916
3011893,0.6464008,0.35359916
3082596,0.64645195,0.35354805
453835,0.6464759,0.3535241
121487053,0.6466508,0.35334924
71421157,0.6468104,0.35318962
53781503,0.6468688,0.3531312
5273624,0.64742243,0.3525776
512001,0.6474968,0.35250315
6481581,0.6474968,0.35250315
604832,0.64799255,0.35200745
13887514,0.6487294,0.35127062
121487106,0.64937276,0.35062724
10684201,0.6496196,0.3503804
643233,0.64977205,0.35022792
90348021,0.6500189,0.34998113
358197,0.65026516,0.34973484
21145733,0.65026516,0.34973484
452858,0.65026516,0.34973484
15957676,0.65035135,0.34964865
10686845,0.65058243,0.34941757
134229912,0.6508585,0.3491415
131882935,0.6513829,0.34861705
174373,0.65152574,0.34847426
12081433,0.6518624,0.34813762
453820,0.6523848,0.34761518
71421156,0.652498,0.347502
15673565,0.6525516,0.3474484
72250,0.6528101,0.3471899
380084,0.6528101,0.3471899
71750617,0.6528101,0.3471899
71340951,0.65312034,0.34687966
452263,0.65312034,0.34687966
452893,0.6531576,0.3468424
11173824,0.6532221,0.34677795
451579,0.6532842,0.34671578
3011905,0.6537807,0.3462193
15940294,0.65419304,0.34580693
511997,0.65423447,0.34576553
168364,0.6542947,0.34570524
91827907,0.6544161,0.3455839
10684273,0.654614,0.34538606
57246734,0.654665,0.34533498
10849690,0.654665,0.34533498
10067373,0.6552315,0.34476855
5272747,0.6553105,0.34468952
453657,0.65540916,0.34459084
493454,0.6562576,0.34374237
21769885,0.6566317,0.3433683
197610,0.6566722,0.34332782
10517505,0.6566722,0.34332782
21853094,0.6570394,0.34296057
21677361,0.65707904,0.34292096
514813,0.657194,0.342806
490265,0.65730155,0.34269848
15342951,0.6578913,0.3421087
6327751,0.6578913,0.3421087
14803551,0.65846074,0.3415393
152162,0.65873134,0.3412687
94480465,0.65912795,0.34087208
9882803,0.65912795,0.34087208
121216596,0.6596298,0.34037018
49784135,0.6597553,0.3402447
15991535,0.65978616,0.34021384
121487464,0.6599732,0.3400268
12193788,0.6599732,0.3400268
124466,0.6600101,0.33998987
3002879,0.660015,0.33998504
118705336,0.6600828,0.33991718
3007221,0.66037595,0.33962405
11107495,0.66057134,0.33942863
132842,0.66109705,0.33890298
21853097,0.6610989,0.3389011
22094552,0.66124606,0.33875397
18469116,0.66124606,0.33875397
5270727,0.66130555,0.33869445
10563947,0.6620198,0.3379802
5289307,0.66214377,0.33785623
17754151,0.66214377,0.33785623
11758878,0.66249907,0.33750096
3081165,0.6628059,0.3371941
512724,0.66283274,0.33716723
135462526,0.6630461,0.33695388
71761487,0.6631946,0.3368054
22875361,0.6638206,0.3361794
121487025,0.6638646,0.3361354
15957673,0.66397107,0.3360289
14862343,0.6641253,0.33587465
14862322,0.66418624,0.33581373
3007216,0.6644327,0.3355673
452695,0.66462636,0.33537367
72182,0.66479707,0.33520296
101075208,0.6649057,0.33509427
514817,0.66502815,0.33497185
13915760,0.66505915,0.33494085
54276168,0.6650875,0.33491248
476448,0.66534954,0.33465046
136260503,0.66542387,0.33457613
453027,0.665491,0.33450904
451503,0.66579103,0.33420894
22451350,0.66579103,0.33420894
11551453,0.66594696,0.33405307
135407854,0.6660861,0.33391395
487687,0.66615194,0.33384806
54528106,0.66642797,0.33357203
3081042,0.66667926,0.33332074
71352407,0.66667926,0.33332074
138375991,0.6667864,0.33321363
6441877,0.6671026,0.33289742
512004,0.66819096,0.33180904
12009658,0.668461,0.33153898
5272908,0.66863203,0.331368
67566518,0.6687962,0.3312038
514812,0.6689477,0.3310523
71749030,0.6689477,0.3310523
121486851,0.6692172,0.3307828
71621353,0.66922677,0.33077323
92243772,0.66930646,0.33069354
21818173,0.66930646,0.33069354
11608602,0.67001325,0.32998675
469286,0.67001325,0.32998675
135459382,0.670297,0.32970297
135616961,0.670297,0.32970297
136806576,0.670297,0.32970297
71404177,0.67036253,0.32963747
13989345,0.6708189,0.3291811
66623225,0.6709143,0.32908574
68810748,0.6709255,0.3290745
11403295,0.6711297,0.32887027
54511089,0.671281,0.32871902
51346748,0.67197895,0.32802102
16398721,0.67197895,0.32802102
71313574,0.67197895,0.32802102
3246700,0.67197895,0.32802102
119025583,0.67197895,0.32802102
11043760,0.67197895,0.32802102
35370,0.67197895,0.32802102
56846050,0.67197895,0.32802102
49849901,0.67197895,0.32802102
455007,0.67197895,0.32802102
5726,0.67197895,0.32802102
121487345,0.67199326,0.3280067
5273975,0.6727045,0.32729548
98801,0.67298514,0.32701486
136682650,0.67307204,0.32692796
136260091,0.67307204,0.32692796
6475823,0.6731392,0.32686076
10085104,0.6731772,0.32682282
11778706,0.6732193,0.32678068
69626224,0.6732193,0.32678068
92132405,0.6732193,0.32678068
117590598,0.6739119,0.32608807
171228,0.67398345,0.32601658
135456714,0.6744112,0.32558882
72272,0.6746164,0.3253836
13833646,0.6748118,0.32518822
13833648,0.6748118,0.32518822
451362,0.6748118,0.32518822
23519671,0.6753577,0.32464227
10265713,0.67554164,0.3244584
23112625,0.67554164,0.3244584
9943636,0.6755458,0.3244542
55281,0.6755458,0.3244542
121486745,0.67571485,0.32428518
474356,0.6760167,0.32398334
469095,0.67607313,0.32392687
6481837,0.6763339,0.3236661
452039,0.6763972,0.3236028
5272749,0.67714316,0.32285684
134229909,0.6774646,0.3225354
6450918,0.6776639,0.32233605
10780244,0.67780685,0.32219312
6479335,0.6780708,0.32192925
272039,0.67825776,0.32174224
121008390,0.6787927,0.3212073
121487521,0.67886686,0.3211331
6450919,0.6790209,0.32097915
42552656,0.67927617,0.32072383
42552658,0.67927617,0.32072383
10638005,0.6793351,0.3206649
152387,0.67953336,0.32046667
54351187,0.6796677,0.3203323
131883271,0.6809211,0.31907895
510972,0.6810765,0.31892344
135764690,0.6811402,0.31885982
135778987,0.6811402,0.31885982
135435172,0.6811402,0.31885982
135753280,0.6811402,0.31885982
161934,0.68133605,0.31866398
92852197,0.68133605,0.31866398
4437528,0.68133605,0.31866398
483946,0.68158686,0.3184131
5271955,0.68182987,0.31817013
266348,0.6821709,0.31782907
92242767,0.6821709,0.31782907
6475928,0.68223727,0.31776273
22875360,0.68232715,0.31767285
13712878,0.6824458,0.31755418
124201,0.6825862,0.3174138
454243,0.6827011,0.3172989
154726303,0.6829259,0.31707412
54437788,0.6830766,0.3169234
10541096,0.6837958,0.31620416
131886802,0.6838083,0.3161917
121007157,0.6838083,0.3161917
10107217,0.6840475,0.31595248
10849717,0.68430847,0.31569153
121486960,0.6844196,0.31558043
70021591,0.68465936,0.31534067
137628662,0.6847108,0.3152892
135538690,0.6851023,0.31489772
469088,0.6855688,0.31443122
5273977,0.68589187,0.31410813
6483431,0.68589664,0.3141034
138114911,0.68589664,0.3141034
10833407,0.68603194,0.31396806
44250004,0.6860802,0.31391978
192597,0.686777,0.31322297
