cid,GATS5m,GATS8p,MATS7i,nCt,nRCOOR
9953786,0.5028115385522398,0.2981659693770074,0.4318876413017719,0.0,0.0
11588933,0.5069693050219664,0.5544697361451625,0.6004233035480576,0.0,0.0
137656328,0.5224818108638567,0.2739256025421188,0.5136787727720203,0.0,0.0
476082,0.6301782852062622,0.2284656234753822,0.7510011973495606,0.0,0.0
136238816,0.6517251567748338,0.2125769213713939,0.2101057916917263,0.0,0.5
45272643,0.2785299341641709,0.2327872276080857,0.3104870053704919,0.1428571428571428,0.0
16735488,0.5005097921507219,0.3883560817121432,0.9613124252767364,0.0,0.0
5272227,0.7821383705551882,0.3014058660355284,0.5415665887621014,0.0,0.0
44379068,0.5203231642395408,0.2484509328644292,0.512021034020662,0.0,0.0
5272239,0.6904245935809109,0.3499708498656855,0.6636788841246384,0.0,0.0
137656437,0.6987664645505469,0.2483740088846658,0.3886456721009691,0.0,0.5
11779021,0.6174226864424277,0.3443465555880988,0.5217446136775777,0.1428571428571428,0.0
54728125,0.5521032721022724,0.3910954707856212,0.6370663788100865,0.1428571428571428,0.0
54768471,0.6749161618417866,0.2165109831626352,0.4469957824839426,0.0,0.5
135972443,0.6443166840889134,0.3197827556591926,0.6148332559444641,0.2857142857142857,0.0
46232069,0.5161408214734902,0.3432844440320973,0.5733066347322704,0.1428571428571428,0.25
145964624,0.6690210146474366,0.2766336543585764,0.4234006652739574,0.0,0.25
122100,0.6262166738377763,0.323169345100114,0.4569972947800976,0.2857142857142857,0.0
14378496,0.6262166738377763,0.323169345100114,0.4569972947800988,0.2857142857142857,0.0
90665344,0.5192147645118703,0.4234815378931021,0.4997760044755621,0.0,0.0
5272241,0.6920706859987958,0.3079868469676127,0.6246704497270372,0.0,0.0
5272218,0.7719087260785307,0.3241420378843727,0.5609777839676932,0.0,0.0
162662244,0.5118797359663942,0.3217362500377834,0.7561963759473811,0.1428571428571428,0.5
134382946,0.656580250365135,0.3566538952936038,0.4984543587032882,0.0,0.5
137638251,0.6777288632600178,0.2013904670718028,0.2270595385591595,0.0,0.5
5272240,0.6764883474471459,0.3555028864400256,0.6401086165093178,0.0,0.0
44379245,0.4832362278489199,0.2830249909012183,0.6267056561432132,0.0,0.0
11581278,0.5071948083952106,0.368532536105052,0.581651924946285,0.0,0.0
6482434,0.6792933201031846,0.2679464752594492,0.5409648377201619,0.4285714285714285,0.0
162674735,0.4587068851316933,0.3229766341322908,0.6102717428570998,0.0,0.5
15986891,0.5361922722354939,0.3565781883608532,0.6414266928876609,0.0,0.0
11516993,0.4880264557914026,0.3381307450315421,0.5702586820498283,0.0,0.0
135480766,0.6193221407133327,0.3795032114195246,0.3260335228919555,0.0,0.0
16732578,0.7124271578097574,0.4167358420074434,0.8033583794645495,0.1428571428571428,0.25
137631795,0.8002132288893319,0.3857642582620985,0.7667239933558888,0.1428571428571428,0.5
134382869,0.6658064700018813,0.3486765859247751,0.4692153257794473,0.0,0.5
145986362,0.5670228827390744,0.6033637336220888,0.5392627898258391,0.1428571428571428,0.0
25257438,0.2770290679298447,0.2637906967831616,0.4739252645233117,0.1428571428571428,0.0
492107,0.5633466152799249,0.3379928209301343,0.633787678679198,0.0,0.0
137646406,0.5939503837479384,0.2685576206964159,0.4780629394227338,0.0,0.0
137646105,0.7483342181398231,0.3816501822651673,0.594273904217553,0.2857142857142857,0.5
135516822,0.6308811928313267,0.2900876351141399,0.5077627288938856,0.0,0.0
5271344,0.6173209973876665,0.4857522044731364,0.4864112664561456,0.0,0.0
25257207,0.6708701023019311,0.3101537039872893,0.5493689946141499,0.1428571428571428,0.0
44582864,0.5314206473704127,0.346812017609154,0.4921582670182817,0.0,0.0
135926125,0.6322587056341339,0.364249882036286,0.7056962033772887,0.0,0.25
480973,0.6166344765943296,0.3216716437050032,0.473732076638212,0.0,0.0
25257440,0.6510905249913218,0.2407487865401302,0.3302772961211329,0.1428571428571428,0.0
53249144,0.6600075400810048,0.1706857520943143,0.5366870206340276,0.0,0.0
44427744,0.2637361299541435,0.2775951254690867,0.5328233902401747,0.0,0.25
155541068,0.6156569399425599,0.3264660059448846,0.6089406709854668,0.0,0.25
480971,0.7560973760750384,0.2748643272973436,0.5664273610860812,0.0,0.0
65275,0.8768488935893018,0.0,0.7619011544327299,0.0,0.0
25257680,0.6985711179081762,0.3340234432152179,0.658049546554725,0.1428571428571428,0.0
162674763,0.4628096768850218,0.3495686488812089,0.6886294220280811,0.0,0.5
25257894,0.551053032144108,0.2908345473160651,0.4613288514954394,0.1428571428571428,0.0
135908405,0.6926571177084795,0.3417302739344783,0.7541805204987686,0.0,0.25
122193267,0.6673117123521506,0.3230012721218269,0.5753327613613199,0.0,0.5
137638691,0.5939503837479384,0.2685576206964159,0.4780629394227339,0.0,0.0
162643167,0.4512752015954763,0.3238086834510797,0.6337386324094109,0.0,0.5
25257893,0.7003231815282529,0.307327075867534,0.6988195874744434,0.1428571428571428,0.0
122192845,0.2301852797090378,0.2947415618950441,0.5822047876696009,0.0,0.0
137641663,0.7881035697422207,0.4521521625322751,0.7563571966512792,0.1428571428571428,0.5
155534038,0.5735572716068063,0.3075313603684815,0.5666343471568155,0.0,0.25
145951735,0.556326931685673,0.2765732858885587,0.423549912461003,0.0,0.0
44140464,0.4670133184000574,0.2733929615503255,0.427065598509745,0.0,0.0
137632844,0.5950668878168499,0.2691348958624314,0.5322260232894175,0.0,0.0
137662294,0.5950668878168499,0.2691348958624314,0.5322260232894176,0.0,0.0
25257437,0.6827908759226726,0.3114610542270306,0.4677603814270116,0.1428571428571428,0.0
5272219,0.8763705335098978,0.3252189015479472,0.5427851981625484,0.1428571428571428,0.0
137649891,0.6844822022417201,0.4451679032430654,0.7842053587528638,0.1428571428571428,0.25
56663162,0.558909623666373,0.3672211844609102,0.6125851532698511,0.0,0.0
480970,0.7755255513227453,0.2765162110977714,0.4812220950273693,0.0,0.0
46875044,0.5736755003118451,0.3111909012322665,0.5612565123688469,0.0,0.25
