cid,Activite,IsomericSMILES,Canonical_smiles
134382692,0,CCCCCOC(=O)C[C@@H](C(=O)OCCCCC)NP(=O)(CO[C@H](CN1C=C(C(=O)NC1=O)C)CF)OC2=CC=CC=C2,CCCCCOC(=O)C[C@H](NP(=O)(CO[C@@H](CF)Cn1cc(C)c(=O)[nH]c1=O)Oc1ccccc1)C(=O)OCCCCC
71454687,0,CC(C)(C)C(=O)OCOP(=O)(C/C=C/CN1C=NC2=C(N=C(N=C21)N)N)OCOC(=O)C(C)(C)C,CC(C)(C)C(=O)OCOP(=O)(C/C=C/Cn1cnc2c(N)nc(N)nc21)OCOC(=O)C(C)(C)C
135541418,0,CCCCCCCCCCCCCCCCOCCCOP(=O)(CC/C=C\CN1C=NC2=C1N=C(NC2=O)N)O,CCCCCCCCCCCCCCCCOCCCOP(=O)(O)CC/C=C\Cn1cnc2c(=O)[nH]c(N)nc21
44319468,0,C[C@H]1CC[C@@H]([C@H](C1)OC[C@@H]2OC(CS2)N3C=C(C(=O)NC3=O)/C=C/Br)C(C)C,CC(C)[C@H]1CC[C@H](C)C[C@@H]1OC[C@@H]1OC(n2cc(/C=C/Br)c(=O)[nH]c2=O)CS1
135542259,0,C1=NC2=C(N1C[C@@H](CF)OCP(=O)(O)O)N=C(NC2=O)N,Nc1nc2c(ncn2C[C@@H](CF)OCP(=O)(O)O)c(=O)[nH]1
9991657,0,C1/C(=C/N2C=NC3=C(N=CN=C32)N)/C1(CO)F,Nc1ncnc2c1ncn2/C=C1/CC1(F)CO
3010084,0,C1=CC(=NC=C1NC(=S)NCC2=CC(=CC(=C2)C(F)(F)F)C(F)(F)F)NC(=O)C3=CSN=N3,O=C(Nc1ccc(NC(=S)NCc2cc(C(F)(F)F)cc(C(F)(F)F)c2)cn1)c1csnn1
3010079,0,C1=CC=C(C=C1)C(C2=CC(=CC(=C2)C(F)(F)F)C(F)(F)F)NC(=S)NC3=CC=C(C=C3)NC(=O)C4=CSN=N4,O=C(Nc1ccc(NC(=S)NC(c2ccccc2)c2cc(C(F)(F)F)cc(C(F)(F)F)c2)cc1)c1csnn1
3010085,0,C[C@H](C1=CC(=CC(=C1)C(F)(F)F)C(F)(F)F)NC(=S)NC2=CN=C(C=C2)NC(=O)C3=CSC=N3,C[C@@H](NC(=S)Nc1ccc(NC(=O)c2cscn2)nc1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1
3010078,0,CCCC(C1=CC(=CC(=C1)C(F)(F)F)C(F)(F)F)NC(=S)NC2=CC=C(C=C2)NC(=O)C3=CSN=N3,CCCC(NC(=S)Nc1ccc(NC(=O)c2csnn2)cc1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1
3010077,0,CCC(C1=CC(=CC(=C1)C(F)(F)F)C(F)(F)F)NC(=S)NC2=CC=C(C=C2)NC(=O)C3=CSN=N3,CCC(NC(=S)Nc1ccc(NC(=O)c2csnn2)cc1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1
44427746,0,CCCCC1=CC=C(C=C1)C#CC2=CN(C(=O)NC2=O)C/C=C\3/C(=C(C(=O)O3)OCC4=CC=CC=C4)OCC5=CC=CC=C5,CCCCc1ccc(C#Cc2cn(C/C=C3\OC(=O)C(OCc4ccccc4)=C3OCc3ccccc3)c(=O)[nH]c2=O)cc1
44427745,0,CC1=CC=C(C=C1)C#CC2=CN(C(=O)NC2=O)C/C=C\3/C(=C(C(=O)O3)OCC4=CC=CC=C4)OCC5=CC=CC=C5,Cc1ccc(C#Cc2cn(C/C=C3\OC(=O)C(OCc4ccccc4)=C3OCc3ccccc3)c(=O)[nH]c2=O)cc1
44427737,0,CCCCCC#CC1=CN(C(=O)NC1=O)C/C=C\2/C(=C(C(=O)O2)OCC3=CC=CC=C3)OCC4=CC=CC=C4,CCCCCC#Cc1cn(C/C=C2\OC(=O)C(OCc3ccccc3)=C2OCc2ccccc2)c(=O)[nH]c1=O
44427748,0,CCCCC1=CC2=CN(C(=O)N=C2O1)C/C=C\3/C(=C(C(=O)O3)OCC4=CC=CC=C4)OCC5=CC=CC=C5,CCCCc1cc2cn(C/C=C3\OC(=O)C(OCc4ccccc4)=C3OCc3ccccc3)c(=O)nc2o1
