cid,s4_pathLength,SHED_DL,phLevel3,minssCH2,F04[N-O],P_VSA_LogP_6,SM12_AEA(dm),P_VSA_e_5,nR=Ct,VE1sign_B(p),VE2sign_Dt,SpMaxA_EA(dm),CATS2D_07_LL,NssCH2,MaxdssC,CATS2D_07_DL,F03[C-N],LOC,CATS2D_07_DA,CATS2D_02_AL,D/Dtr09,Eig03_EA(dm),gmin,s3_numAroBonds,CATS2D_02_DL,P_VSA_charge_12,F10[N-O],nCp,GATS4m,F02[C-N],MaxsCH3,arLevel2,CATS2D_07_AP,CATS2D_03_AA,F09[N-P],SpDiam_AEA(dm),SpMax_AEA(bo),VE1sign_A
11752151,0.3298611111111125,0.4834345910511501,0.25,0.8386999863425704,0.0,0.0972212297595403,0.6688650700777121,0.5831748136000989,0.125,0.1844282413197537,0.2255434973301859,0.1531936720925727,0.2647058823529412,0.05,0.9288007304803958,0.6153846153846154,0.0,0.254407392831647,0.125,0.238095238095238,0.0,0.3867004564626576,0.6399532025505358,0.0493827160493827,0.0833333333333333,0.0057478534319641,0.0,0.3684210526315789,0.4134391343670209,0.0,0.9342138610772568,0.2222222222222222,0.0,0.3333333333333333,0.0,0.4273385900774296,0.7527709441835784,0.266481219011385
10099039,0.0,0.4422556288657707,0.0,0.3429751030026885,0.1,0.4505393268744156,0.523735484528571,0.3491050486656537,0.0,0.2031297916211679,0.1074032373043535,0.1120783039473807,0.2647058823529412,0.35,0.4659589967257123,0.0,0.1470588235294117,0.90929860688521,0.125,0.1428571428571428,0.0,0.4438268138381691,0.2883446239037054,0.0,0.0,0.0,0.2666666666666666,0.0526315789473684,0.4224625820045478,0.1176470588235294,0.9133259348064184,0.0,0.125,0.2222222222222222,0.25,0.4149987059600211,0.5085615762891726,0.1407113884344627
54728126,0.3229166666666656,0.4815800491687778,0.5,0.3414438153598739,0.3,0.2297578212824886,0.6632937994004575,0.9531291926858196,0.375,0.6986472525884543,0.1415339665958192,0.1083291306321818,0.0,0.0333333333333333,0.6041437028040323,0.1538461538461538,0.2058823529411764,0.1801309289051136,0.25,0.8095238095238095,0.0,0.7173313475199862,0.6019568501693321,0.0,0.5,0.0,0.0,0.1578947368421052,0.3377289874184749,0.088235294117647,0.5636582172795436,0.0,0.0,0.1111111111111111,0.0,0.4650637405758264,0.6743277474913043,0.5217155090924868
11675456,0.5104166666666656,0.8306882987312959,0.5,0.4155824920054138,0.3,0.5110795405924414,0.5877524479363487,0.41503510993816,0.125,0.3471636824773799,0.0069100151470004,0.1409233405221266,0.1764705882352941,0.15,0.7680801356078613,0.1538461538461538,0.2352941176470588,0.4936090292661532,0.25,0.3809523809523809,0.199064939449284,0.510920790997327,0.7321857694240305,0.0,0.0833333333333333,0.0769640547238038,0.0,0.1052631578947368,0.3444381933481997,0.088235294117647,0.8934403389849037,0.0,0.0,0.1111111111111111,0.0,0.4049651241457745,0.5229017193805343,0.1928419149438854
60167178,0.4791666666666656,0.8415698269437693,0.5,0.3945749731982425,0.3,0.7924012599023935,0.5663028211695312,0.4593383801333741,0.125,0.3594978704633842,0.128527882744024,0.1323597242564416,0.2058823529411764,0.0666666666666666,0.6092126508405354,0.2307692307692307,0.2058823529411764,0.231058343441928,0.25,0.238095238095238,0.0,0.4791950998842734,0.7205838436277525,0.0,0.1666666666666666,0.0,0.0,0.1052631578947368,0.4015214435897363,0.088235294117647,0.8593906996286128,0.0,0.0,0.1111111111111111,0.0,0.4695231239147832,0.4638733084535476,0.2322550799366704
490383,0.25,0.2058215605391445,1.0,0.3785877570646141,0.3,0.4646040648051714,0.4934813886729171,0.4593383801333741,0.125,0.411044013949341,0.0777290560881076,0.1953881643785564,0.0,0.0666666666666666,0.6191226315370816,0.1538461538461538,0.3235294117647059,0.4531791386964207,0.5,0.1428571428571428,0.0,0.4791950998842732,0.7290043286476264,0.0,0.0833333333333333,0.0,0.1333333333333333,0.1578947368421052,0.1896473106374267,0.1470588235294117,0.0,0.0,0.25,0.1111111111111111,0.0,0.3736335926907668,0.4343781597935114,0.1923118199649359
490381,0.25,0.2178142411450496,1.0,0.4525512475453246,0.3,0.4646040648051714,0.4390991265969305,0.3256511088905064,0.125,0.3996684001825586,0.2889896416426148,0.2159553395762993,0.0,0.0666666666666666,0.612275405276694,0.0769230769230769,0.3235294117647059,0.4580070949533321,0.25,0.1428571428571428,0.0,0.4791950998842732,0.7235260132419546,0.0,0.0833333333333333,0.0,0.0666666666666666,0.1052631578947368,0.2937662699129361,0.1470588235294117,0.0,0.0,0.25,0.0555555555555555,0.0,0.373490484643135,0.4341532844943319,0.1727787676537979
6479050,0.4166666666666656,0.6111911182286157,0.5,0.413837079490791,0.3,0.2297578212824886,0.6099018488901402,0.41503510993816,0.125,0.3468444404738063,0.0442232040844697,0.1358602727379186,0.1176470588235294,0.05,0.7719846400052996,0.1538461538461538,0.2352941176470588,0.2643762399273015,0.25,0.3809523809523809,0.1767090490400873,0.5050806509393819,0.7310011980411322,0.0,0.0833333333333333,0.0769640547238038,0.0,0.1052631578947368,0.4095234434312511,0.088235294117647,0.8412630436663568,0.0,0.0,0.1111111111111111,0.0,0.4536406482866508,0.5419433042437398,0.1957197649356218
136266873,0.75,0.242457153216134,0.0,0.3903824641606835,0.4,0.210127663293557,0.5520107399405653,0.4226241907855178,0.0,0.3521923846773036,0.0,0.0493058275602277,0.5294117647058824,0.65,0.5821016493103778,0.0,0.2941176470588235,0.9341072217120204,0.25,0.2857142857142857,0.5956672077063813,0.4438268138381691,0.3206234056430667,0.2777777777777778,0.0,0.0303580479927306,0.5333333333333333,0.1578947368421052,0.4418430125770855,0.1764705882352941,0.9186160701509092,0.25,0.125,0.3888888888888888,0.5,0.38348527460622,0.5778711171270801,0.3182167466425179
60167321,0.3854166666666656,0.6979809382586984,0.5,0.3926584184199291,0.3,0.7924012599023935,0.5663018170850768,0.4593383801333741,0.125,0.3839043857582993,0.2985780586585717,0.1465411232839176,0.088235294117647,0.0333333333333333,0.6024030284524303,0.1538461538461538,0.2647058823529412,0.1729068001884603,0.25,0.3809523809523809,0.0,0.4791950998842734,0.7198747112075643,0.0,0.1666666666666666,0.0,0.1333333333333333,0.0526315789473684,0.4440712426566865,0.1764705882352941,0.0,0.0,0.0,0.1111111111111111,0.0,0.4695231188730895,0.4635618081682797,0.2390605546440427
