cid,Probability of nontox,Probability of tox
14179187,0.808926409664333,0.19107359033566693
124383959,0.808926409664333,0.19107359033566693
92131994,0.8089264096643332,0.1910735903356668
133611960,0.8089264096643332,0.1910735903356668
44281962,0.8090174452790804,0.19098255472091963
90117986,0.809041928222501,0.19095807177749902
90472731,0.8090524584609181,0.19094754153908186
23263710,0.8090597327183671,0.19094026728163296
310061,0.8090597327183671,0.19094026728163296
451890,0.8090877950731656,0.19091220492683433
9921551,0.8090877950731656,0.19091220492683433
459943,0.8091144921393707,0.19088550786062927
4369196,0.8092274289532901,0.19077257104670986
453631,0.8092353994661958,0.19076460053380412
44593585,0.8092823098147357,0.19071769018526424
46780621,0.8092911333228526,0.19070886667714734
126306,0.8094399001382959,0.19056009986170408
122130386,0.8094694261294381,0.19053057387056194
512736,0.8094758428145075,0.19052415718549248
134363,0.809525211397125,0.1904747886028751
19385342,0.8095259891307511,0.1904740108692489
15742005,0.8095259891307511,0.19047401086924887
121487282,0.8095285453174884,0.19047145468251156
10780244,0.8095587796574731,0.1904412203425269
91603773,0.8095730484146355,0.1904269515853645
121218048,0.8095991468093077,0.19040085319069233
456258,0.809599838030924,0.190400161969076
90472729,0.8097275199351255,0.19027248006487452
118855918,0.8097720404939154,0.19022795950608465
92132424,0.8097906925356902,0.19020930746430972
16080036,0.8097906925356902,0.19020930746430972
20871287,0.809846190941393,0.19015380905860704
121487308,0.8099429041985439,0.19005709580145613
102155963,0.8099562094717294,0.1900437905282706
118855855,0.810038361693749,0.18996163830625096
101011598,0.810075981460467,0.18992401853953297
155377,0.8103332117737434,0.18966678822625663
13566110,0.8103577923875817,0.18964220761241835
166753,0.8104299970586186,0.18957000294138132
72263,0.8104662034125822,0.1895337965874177
14132914,0.8104662034125824,0.18953379658741765
121487306,0.8104773673150644,0.18952263268493563
13833655,0.8104774552423977,0.18952254475760238
451366,0.8104774552423977,0.1895225447576023
1247503,0.810480391012788,0.18951960898721196
9795471,0.8105551731260929,0.1894448268739071
10378169,0.8107695014564051,0.18923049854359483
131854196,0.8107748863887743,0.18922511361122576
18633466,0.810785407185765,0.18921459281423508
510575,0.8108955927515124,0.18910440724848765
137699423,0.8109527571176011,0.1890472428823989
2735432,0.8109681962972763,0.18903180370272368
11493075,0.810975702478775,0.18902429752122493
14351078,0.8110325218388902,0.18896747816110981
101335355,0.8110940373873288,0.18890596261267129
127931,0.8111076024075738,0.1888923975924262
86295119,0.811177853503714,0.1888221464962861
96622,0.811177853503714,0.1888221464962861
15839349,0.811177853503714,0.1888221464962861
256040,0.8111778535037141,0.18882214649628595
154746984,0.8111846753470054,0.18881532465299453
118705321,0.8112093840204465,0.18879061597955346
11311503,0.811311280826234,0.18868871917376598
57453626,0.811311280826234,0.18868871917376598
124526965,0.811311280826234,0.18868871917376598
146014346,0.811311280826234,0.18868871917376598
118703665,0.811311280826234,0.18868871917376598
118703664,0.811311280826234,0.18868871917376598
58455422,0.811311280826234,0.18868871917376592
13871040,0.8113900176687278,0.18860998233127224
171490,0.8114039730051512,0.18859602699484876
460315,0.8114987651634451,0.18850123483655487
493218,0.8115976879501263,0.18840231204987365
56607506,0.8116129666137232,0.18838703338627685
373406,0.8116318430209204,0.1883681569790796
118855907,0.8117962758560912,0.18820372414390887
11043760,0.8118094704314712,0.18819052956852875
76845222,0.8119327231020789,0.18806727689792113
21140723,0.8120300341400216,0.18796996585997836
54558447,0.8121082582998352,0.18789174170016473
14826943,0.8121092302080729,0.18789076979192712
131864317,0.8122723541003638,0.1877276458996362
53775732,0.8123842139790753,0.18761578602092463
59180612,0.812536511070046,0.187463488929954
480265,0.812539427421883,0.187460572578117
493843,0.8125614311715122,0.18743856882848778
493838,0.8125614311715122,0.18743856882848775
135956774,0.8125889914659362,0.18741100853406376
121216367,0.8126150242762163,0.18738497572378368
131882935,0.8126521877113493,0.18734781228865077
57348664,0.8126552693981564,0.1873447306018437
515104,0.8126566836353063,0.1873433163646937
134364,0.8126644739230605,0.1873355260769395
131877129,0.8126705212191572,0.18732947878084288
68206315,0.8126865306588464,0.1873134693411535
7059462,0.8126865306588464,0.1873134693411535
94196,0.8126865306588464,0.1873134693411535
2729604,0.8126865306588464,0.1873134693411535
1263225,0.8126865306588464,0.1873134693411535
27661670,0.8126865306588464,0.1873134693411535
7195995,0.8126865306588464,0.1873134693411535
9943400,0.8126880486495826,0.18731195135041748
15928727,0.8126880486495826,0.18731195135041748
453034,0.8127492172811215,0.18725078271887857
122625,0.8127492172811215,0.18725078271887857
14503009,0.8127492172811216,0.18725078271887843
6477978,0.812806983455908,0.187193016544092
14862108,0.8128070748957243,0.1871929251042757
134556,0.8128753857416118,0.18712461425838828
10659906,0.8131173126619093,0.1868826873380906
13989307,0.813125172895836,0.18687482710416406
90472727,0.8132098736050357,0.18679012639496428
18651801,0.813247953648143,0.186752046351857
6481831,0.8132855965520651,0.18671440344793486
122110,0.8132903298450367,0.18670967015496331
509185,0.8132903298450367,0.18670967015496331
451889,0.8132903298450367,0.18670967015496331
10041866,0.8133406443582385,0.18665935564176156
163320930,0.8133575634516368,0.18664243654836316
483932,0.8134207901269607,0.18657920987303936
124345,0.8136183929216111,0.18638160707838894
92286287,0.8136183929216111,0.18638160707838894
11010214,0.8136984737828321,0.1863015262171679
71422951,0.8137134429960154,0.18628655700398453
21821194,0.8137303167780078,0.18626968322199222
45105016,0.8139839792923065,0.18601602070769346
376367,0.8140310331753224,0.18596896682467756
5270589,0.8140904413089312,0.18590955869106887
86751121,0.8141245362900317,0.18587546370996832
9856746,0.8141651156963827,0.18583488430361733
121487362,0.8142009503649671,0.18579904963503288
135501639,0.8142577637096602,0.18574223629033987
156588731,0.8142629021487866,0.18573709785121337
14842981,0.8142994870552707,0.18570051294472928
71441957,0.8143243439595322,0.18567565604046782
191568,0.8143365653789447,0.18566343462105528
45045221,0.814417808627257,0.185582191372743
