cid,Probability of nonactivity,Probability of activity
131879085,0.19453269,0.8054673
464378,0.19535387,0.80464613
54471624,0.19598413,0.8040159
131880518,0.19655341,0.8034466
154726303,0.19659275,0.80340725
3010386,0.19712347,0.80287653
86592813,0.19795424,0.80204576
136084639,0.19836843,0.80163157
131885190,0.19900429,0.8009957
432973,0.19900429,0.8009957
3007919,0.19908619,0.8009138
453996,0.1996764,0.8003236
92279160,0.1996764,0.8003236
464373,0.20180726,0.79819274
139025758,0.2021383,0.7978617
121228750,0.20310783,0.79689217
121013684,0.2032659,0.7967341
11057044,0.2032659,0.7967341
482632,0.20353276,0.79646724
91150325,0.20373273,0.7962673
167821,0.20400995,0.79599005
453195,0.2042191,0.7957809
477875,0.20443481,0.7955652
121487869,0.20505756,0.79494244
9824370,0.20522189,0.7947781
476460,0.20551622,0.7944838
490265,0.20588768,0.7941123
135506574,0.20607013,0.7939299
86592812,0.20758975,0.79241025
454534,0.20769602,0.792304
454533,0.20769602,0.792304
455182,0.20769602,0.792304
419564,0.20773649,0.7922635
21144431,0.20773649,0.7922635
476461,0.20781982,0.7921802
137205375,0.2079354,0.7920646
92262645,0.20921856,0.79078144
131858479,0.20921856,0.79078144
154701265,0.20983756,0.79016244
11825687,0.21045661,0.7895434
14258187,0.21068871,0.7893113
13989343,0.21070325,0.78929675
92236674,0.21099228,0.7890077
56987376,0.21138108,0.7886189
121486926,0.21246284,0.78753716
194101,0.2139185,0.7860815
464379,0.21557367,0.78442633
23634773,0.21575826,0.78424174
3011897,0.21617931,0.7838207
124301793,0.2172265,0.7827735
228966,0.2172265,0.7827735
14061175,0.21820784,0.78179216
137937484,0.21820784,0.78179216
5273004,0.21849656,0.78150344
86592810,0.21897846,0.78102154
54320536,0.22031957,0.77968043
21818173,0.22044307,0.77955693
92243772,0.22044307,0.77955693
510946,0.22048217,0.7795178
135462526,0.22062457,0.77937543
90487625,0.22087717,0.7791228
101947567,0.22133255,0.77866745
131881305,0.22134364,0.77865636
512680,0.2216559,0.7783441
15024543,0.22240663,0.7775934
272039,0.22256666,0.77743334
71414969,0.22398365,0.77601635
25157838,0.22500998,0.77499
14843513,0.22549266,0.77450734
455763,0.2255655,0.7744345
12777818,0.22579485,0.77420515
24773090,0.22738683,0.77261317
301081,0.22738683,0.77261317
183242,0.22747362,0.7725264
512135,0.22798294,0.77201706
131880734,0.22879875,0.77120125
476458,0.2300325,0.7699675
131849184,0.23069978,0.7693002
121011847,0.23127162,0.7687284
469866,0.23127955,0.76872045
476449,0.23280388,0.7671961
5289307,0.23382485,0.76617515
17754151,0.23382485,0.76617515
13989335,0.23383003,0.76616997
13989334,0.23383003,0.76616997
130060,0.23383683,0.7661632
131884916,0.23391426,0.76608574
14541163,0.2347691,0.7652309
452054,0.2347691,0.7652309
452051,0.2347691,0.7652309
134067785,0.2349847,0.7650153
90348021,0.23546815,0.76453185
53243689,0.23570436,0.76429564
247678,0.23718226,0.76281774
461404,0.23801225,0.76198775
475524,0.23801225,0.76198775
21721736,0.23970199,0.760298
136195916,0.24019814,0.75980186
135783064,0.24059063,0.75940937
137160593,0.24072915,0.75927085
5273510,0.24203914,0.75796086
296233,0.24222958,0.7577704
87824027,0.24222958,0.7577704
135414113,0.24291039,0.7570896
92247204,0.243456,0.756544
131881064,0.243456,0.756544
11277569,0.24473262,0.7552674
135409780,0.24490637,0.75509363
15172869,0.24492657,0.7550734
135788892,0.2451964,0.7548036
14842863,0.24521202,0.754788
9861413,0.24555129,0.7544487
11697484,0.24571043,0.75428957
470030,0.24582005,0.75417995
23260220,0.24729156,0.75270844
21592214,0.24772501,0.752275
188350,0.24778658,0.7522134
512725,0.24791777,0.7520822
71442564,0.24820775,0.75179225
287101,0.2497651,0.7502349
10544814,0.2497651,0.7502349
21855711,0.24976969,0.7502303
11749237,0.25133938,0.7486606
92249433,0.25143147,0.74856853
10107793,0.25143147,0.74856853
59048458,0.2519871,0.7480129
97199,0.25295722,0.7470428
512131,0.25295722,0.7470428
5487206,0.25348842,0.7465116
102122295,0.25365776,0.74634224
131882742,0.25383633,0.74616367
155290824,0.25396484,0.74603516
296237,0.25434393,0.7456561
9882803,0.25473315,0.74526685
94480465,0.25473315,0.74526685
7075697,0.2550825,0.7449175
266939,0.2550825,0.7449175
44356940,0.2553473,0.7446527
92845691,0.2553473,0.7446527
134694066,0.2553473,0.7446527
93604123,0.2553473,0.7446527
29982328,0.2553473,0.7446527
12042143,0.2553473,0.7446527
169662,0.2553473,0.7446527
502232,0.2554006,0.7445994
101926865,0.25592893,0.74407107
70700492,0.25617248,0.7438275
14430353,0.25620294,0.74379706
452095,0.25620294,0.74379706
258592,0.25623888,0.7437611
22880825,0.25688964,0.74311036
14803115,0.2569098,0.7430902
14803116,0.2569098,0.7430902
98625,0.25694805,0.74305195
6454537,0.2574101,0.7425899
54192124,0.2574101,0.7425899
