,coef
B03[N-S],-0.03428001589839036
B07[O-S],0.007203643608983727
B08[C-N],0.027928446894740083
B10[C-C],0.0041993524103383145
F01[C-N],-0.014005336979489377
F01[C-S],0.018385159403987064
F01[N-N],0.013859284962333879
F02[C-C],0.013836226820501141
F02[C-S],0.0038291206853172883
F02[N-S],-0.0006595347681164215
F03[C-C],0.002859569063407992
F03[C-N],-0.0007197090132909314
F03[C-O],0.001230833879795552
F03[C-S],-0.0002931899933755001
F03[C-F],-0.026620797101006285
F03[C-Cl],-0.014156722275683703
F03[N-O],0.00028242068556547795
F03[N-Cl],0.010703147905130213
F03[O-O],-0.00793274900157644
F04[C-C],0.003584189562740641
F04[C-O],-0.010029516011902233
F04[C-S],0.000294683164478002
F04[N-N],0.020908659572397386
F04[N-O],-0.0026034275217111415
F04[O-S],-0.022549743719659704
F05[C-N],-0.007872721421551739
F05[C-O],0.002059694942062049
F05[C-F],-0.013709431528993907
F05[C-Cl],0.007630587067644692
F05[N-F],0.005673422695106351
F05[O-O],0.0065155648440532
F05[O-S],-0.0003945528599522412
F05[O-F],-0.007963628163886944
F06[C-C],-0.002248418907479645
F06[C-N],-0.0019258380858004414
F06[C-O],-0.003564023425292256
F06[C-F],0.007107303813661306
F06[N-O],-0.011438134613526453
F06[O-O],-0.0027166659312980925
F07[C-C],-0.004395857080793552
F07[C-N],0.008309450996598711
F07[C-O],0.0035437947170707195
F08[C-C],-0.00531661059301448
F08[C-N],-0.0005237500019039283
F08[C-O],0.004396036089795066
F08[N-N],0.00173234460988273
F08[N-F],-0.005525798113594025
F08[O-Cl],0.04724844924080656
F09[C-C],-0.003578493691221043
F09[C-O],-0.007078583518213288
F09[C-F],0.005354967411242583
F09[C-Cl],0.016641900943572874
F10[C-C],-0.0015684071456286313
F10[C-N],-0.00013167806008958447
F10[C-F],0.010026046429650541
MR99,0.0036714177729201035
MRcons,1.231213567720178e-17
TPSA(NO),-0.0006642573769154371
TPSA(Tot),0.0004313409691770199
LOGP99,-0.0019344072630238806
SAacc,0.00014171158287322057
SAdon,0.0011717396129399809
Vx,-0.00031681587501054
MDEC-11,0.0015087817547420077
MDEC-34,-0.006136302205109429
MDEO-12,-0.00021146592595620083
ChiralCenter,-0.002473034108288647
nLevel4,0.00031369008026620345
nLevel8,-0.012843753136932725
arLevel2,0.01734631135648608
s2_size,-0.023603029627437676
s4_numSharedNeighbors,0.009911918643185582
s4_numRotBonds,0.0014357627465215006
s3_numAroBonds,-0.01572491022131339
s4_numAroBonds,-0.003900818621738914
s34_size,0.004234513533924153
chiralPhMoment,-0.0008942969902573404
