cid,Probability of nonactivity,Probability of activity
29921448,0.38237417,0.61762583
123570113,0.3825341,0.6174659
77844687,0.3828746,0.6171254
513632,0.38326317,0.6167368
266234,0.38335472,0.6166453
84392,0.38335472,0.6166453
11032790,0.38335472,0.6166453
9816781,0.38335472,0.6166453
92131953,0.38335472,0.6166453
57061669,0.38335472,0.6166453
92233339,0.38335472,0.6166453
10264873,0.38372207,0.61627793
102381563,0.38413662,0.6158634
21157833,0.38427603,0.61572397
490444,0.3844174,0.6155826
5272654,0.38444328,0.6155567
11807674,0.38447767,0.6155223
10467227,0.38495344,0.61504656
513477,0.38499975,0.61500025
451527,0.38524187,0.61475813
512724,0.3857062,0.6142938
3006961,0.38754106,0.61245894
131883911,0.38848943,0.6115106
15410716,0.38898224,0.61101776
453864,0.38901216,0.61098784
11821521,0.38911927,0.61088073
73116931,0.38911927,0.61088073
21634250,0.38935786,0.61064214
58834035,0.3894593,0.6105407
94725030,0.3894593,0.6105407
12800104,0.3894593,0.6105407
3035929,0.3894593,0.6105407
94725032,0.3894593,0.6105407
447594,0.3894593,0.6105407
21580289,0.39001054,0.60998946
131883912,0.39001054,0.60998946
97078,0.39046705,0.60953295
6560303,0.39046705,0.60953295
452858,0.39081728,0.6091827
21145733,0.39081728,0.6091827
358197,0.39081728,0.6091827
189165,0.39095467,0.6090453
482632,0.3925299,0.6074701
13830104,0.39302266,0.60697734
14410899,0.3937496,0.6062504
91150325,0.3942296,0.6057704
129653012,0.39461672,0.6053833
121486833,0.39486688,0.6051331
86592810,0.39533842,0.6046616
11824,0.3955313,0.6044687
247955,0.3955313,0.6044687
512290,0.3955313,0.6044687
92228414,0.3955313,0.6044687
5271782,0.39590055,0.60409945
469447,0.39618993,0.6038101
7058183,0.3969013,0.6030987
7458588,0.3969013,0.6030987
282734,0.39808786,0.60191214
466018,0.3983884,0.6016116
97515,0.3984847,0.6015153
452769,0.3984847,0.6015153
278931,0.3984847,0.6015153
72212336,0.3991599,0.6008401
15289164,0.3991599,0.6008401
503008,0.39987385,0.60012615
503009,0.39987385,0.60012615
3006960,0.40095472,0.5990453
131858474,0.40111262,0.5988874
5272658,0.40118885,0.59881115
14409040,0.401618,0.598382
10264872,0.4017409,0.5982591
56671903,0.40239108,0.5976089
21069732,0.40283078,0.5971692
3081401,0.40295404,0.59704596
3012586,0.40466982,0.5953302
93604123,0.40509456,0.59490544
134694066,0.40509456,0.59490544
12042143,0.40509456,0.59490544
44356940,0.40509456,0.59490544
169662,0.40509456,0.59490544
29982328,0.40509456,0.59490544
92845691,0.40509456,0.59490544
131881305,0.40537834,0.59462166
371485,0.4055764,0.5944236
13097160,0.40610135,0.59389865
121487870,0.40632296,0.59367704
105116,0.40736777,0.59263223
10945668,0.40736777,0.59263223
10446782,0.40737498,0.592625
22366141,0.40749204,0.59250796
9797705,0.40791768,0.5920823
15450711,0.40883875,0.59116125
57216635,0.40883875,0.59116125
163199084,0.40883875,0.59116125
160751,0.40883875,0.59116125
13989335,0.40894622,0.5910538
13989334,0.40894622,0.5910538
5279426,0.4094041,0.5905959
169061,0.41001046,0.58998954
135541390,0.41006666,0.58993334
465094,0.41020983,0.58979017
470049,0.41020983,0.58979017
3011899,0.41039777,0.58960223
121217040,0.41048008,0.5895199
260138,0.41048008,0.5895199
3009937,0.4113503,0.5886497
334830,0.4118592,0.5881408
10934996,0.4118592,0.5881408
92132092,0.4118592,0.5881408
511720,0.41255277,0.5874472
42553747,0.41285676,0.58714324
53869019,0.41285676,0.58714324
16129586,0.41285676,0.58714324
8975,0.41285676,0.58714324
44629914,0.41285676,0.58714324
46705411,0.41285676,0.58714324
40468020,0.41285676,0.58714324
3367,0.41285676,0.58714324
13072932,0.41285676,0.58714324
657237,0.41285676,0.58714324
54669720,0.41285676,0.58714324
68197667,0.41285676,0.58714324
45039261,0.41285676,0.58714324
13072931,0.41285676,0.58714324
14860272,0.41305208,0.5869479
14860273,0.41305208,0.5869479
124379,0.41348416,0.58651584
5273012,0.41348416,0.58651584
6482482,0.41348416,0.58651584
22791353,0.41351527,0.58648473
71313037,0.41372317,0.5862768
71776184,0.41372317,0.5862768
131852786,0.41385216,0.58614784
14330066,0.4142459,0.5857541
14330067,0.4142459,0.5857541
493223,0.41463733,0.5853627
154726303,0.4149353,0.5850647
