cid,Probability of non-cal27,Probability of cal27
121486901,0.3716221137198281,0.6283778862801719
16078949,0.37162301474375814,0.6283769852562419
21603712,0.3716416861796622,0.6283583138203378
3005966,0.3717827903853821,0.6282172096146179
124923,0.3718529750697571,0.6281470249302429
481078,0.37185297506975723,0.6281470249302428
135461724,0.37207234345335705,0.627927656546643
513870,0.3722442612030379,0.6277557387969621
14156718,0.37231198379822805,0.627688016201772
14308792,0.3724630145871992,0.6275369854128008
3010356,0.3724630145871992,0.6275369854128008
14308791,0.3724630145871992,0.6275369854128008
86295187,0.3724630145871992,0.6275369854128008
7204908,0.37256110222271865,0.6274388977772813
73662,0.37256110222271865,0.6274388977772813
72200,0.37256110222271865,0.6274388977772813
44629931,0.37256110222271877,0.6274388977772812
131884916,0.37265070604688544,0.6273492939531146
135888863,0.3727288239949057,0.6272711760050943
135722152,0.3727288239949059,0.6272711760050941
493218,0.37276483232584623,0.6272351676741538
135754450,0.3730990859165765,0.6269009140834235
121216595,0.37347983738945756,0.6265201626105424
6325427,0.3736147145680464,0.6263852854319536
10753744,0.3737933599102333,0.6262066400897667
155906447,0.3738558471098399,0.6261441528901601
338571,0.3739496179782055,0.6260503820217945
22848660,0.374393722134975,0.625606277865025
117590598,0.37443964184147893,0.6255603581585211
22366141,0.37444293346059254,0.6255570665394075
513858,0.37448122201726586,0.6255187779827341
128771,0.3744831547465889,0.6255168452534111
131881043,0.37459656610237757,0.6254034338976224
20832934,0.3747796855020097,0.6252203144979903
135508096,0.37480904527361725,0.6251909547263828
92450064,0.3748165840892963,0.6251834159107037
472634,0.3748414511564705,0.6251585488435295
492557,0.37488157592051496,0.625118424079485
72190,0.37497625065925155,0.6250237493407484
451360,0.37497625065925155,0.6250237493407484
13121583,0.37497625065925155,0.6250237493407484
511765,0.37497625065925155,0.6250237493407484
16728337,0.37506242313249916,0.6249375768675008
135503657,0.37516159788117565,0.6248384021188244
14367004,0.37520903932871297,0.624790960671287
481515,0.3753624032690305,0.6246375967309695
131858671,0.37542879655981054,0.6245712034401895
345462,0.37542879655981054,0.6245712034401895
21157388,0.37552905570164097,0.624470944298359
135602220,0.37553069458896726,0.6244693054110327
53795348,0.37578169351213886,0.6242183064878611
67771073,0.37578169351213886,0.6242183064878611
134067785,0.3758017876638988,0.6241982123361012
135409780,0.37588789765572117,0.6241121023442788
15742007,0.376238533768807,0.623761466231193
193188,0.37632176308685483,0.6236782369131452
135412706,0.3763974110397357,0.6236025889602643
12115951,0.3765010362048786,0.6234989637951214
511761,0.3765010362048786,0.6234989637951214
70697554,0.37651618410287513,0.6234838158971249
139025117,0.37652677703302617,0.6234732229669738
6450917,0.3765841264946437,0.6234158735053563
1250152,0.37670948107527846,0.6232905189247215
685002,0.37670948107527846,0.6232905189247215
10805757,0.37670948107527846,0.6232905189247215
9797212,0.37670948107527846,0.6232905189247215
23264551,0.37689654027456143,0.6231034597254386
71369906,0.37699751665459447,0.6230024833454055
46846349,0.37713256636758374,0.6228674336324163
11783210,0.3771341735619692,0.6228658264380308
452775,0.37715852383176984,0.6228414761682302
511981,0.3771741224659758,0.6228258775340242
369492,0.3771741224659758,0.6228258775340242
6915817,0.3771741224659758,0.6228258775340242
469699,0.3771741224659758,0.6228258775340242
365526,0.3771741224659759,0.6228258775340241
451554,0.3771810001355983,0.6228189998644017
24885222,0.3771831786163298,0.6228168213836702
6479521,0.37720529273874404,0.622794707261256
461652,0.3773101427410681,0.6226898572589319
131885132,0.3775032223509035,0.6224967776490965
135596570,0.37773199649952904,0.622268003500471
333691,0.3779284340623511,0.6220715659376489
54041813,0.37792843406235144,0.6220715659376486
136806576,0.3779636253355604,0.6220363746644396
135616961,0.3779636253355604,0.6220363746644396
135459382,0.3779636253355605,0.6220363746644395
135602240,0.3781390879268446,0.6218609120731554
135849775,0.3781390879268446,0.6218609120731554
3012564,0.37820679259840895,0.621793207401591
451960,0.378314267395199,0.621685732604801
6573504,0.37839913951464854,0.6216008604853515
1260547,0.3784469379280654,0.6215530620719346
6560138,0.3784472765066118,0.6215527234933882
64959,0.3784472765066118,0.6215527234933882
135433495,0.37857554963156725,0.6214244503684327
136242428,0.37857554963156737,0.6214244503684326
135800805,0.37857554963156737,0.6214244503684326
137128749,0.3787773293832667,0.6212226706167333
21825596,0.3790521047263229,0.6209478952736771
640874,0.37909113587987575,0.6209088641201242
135499776,0.37909368691433953,0.6209063130856605
155903791,0.3792350270662791,0.6207649729337209
9824370,0.3795077823736245,0.6204922176263755
135856077,0.37959023143609405,0.620409768563906
135618698,0.37959023143609405,0.620409768563906
90117986,0.37964406464848055,0.6203559353515194
477547,0.37972254597172495,0.620277454028275
73319,0.37972254597172495,0.620277454028275
136260496,0.379735094004531,0.620264905995469
469869,0.3797806070049127,0.6202193929950873
136164982,0.37984176768716615,0.6201582323128338
135409287,0.37984176768716615,0.6201582323128338
136756020,0.37984176768716615,0.6201582323128338
11243974,0.3799829370436506,0.6200170629563494
136623055,0.38000616706568935,0.6199938329343107
137221166,0.38003666703331507,0.6199633329666849
137198969,0.38023623170433263,0.6197637682956674
452498,0.38025906164429246,0.6197409383557075
136806184,0.38044927469549394,0.6195507253045061
136232965,0.3804588407684829,0.6195411592315171
129389389,0.3805376957722,0.6194623042278
136898426,0.38056642437676624,0.6194335756232338
136823426,0.38056642437676647,0.6194335756232335
460466,0.3806298706941751,0.6193701293058249
135508725,0.38111363034495027,0.6188863696550497
135768162,0.38111363034495027,0.6188863696550497
135499520,0.38111363034495027,0.6188863696550497
135398635,0.38111363034495027,0.6188863696550497
135538738,0.38111363034495027,0.6188863696550497
135726185,0.38111363034495027,0.6188863696550497
136029099,0.38111363034495027,0.6188863696550497
135514572,0.38111363034495027,0.6188863696550497
135402034,0.38111363034495027,0.6188863696550497
121486746,0.38157089343615513,0.6184291065638449
510973,0.38191711067809186,0.6180828893219081
182378,0.3819917106557882,0.6180082893442118
470046,0.38202411246723833,0.6179758875327617
474355,0.3820873138691667,0.6179126861308333
163320926,0.38231742321518614,0.6176825767848139
135582771,0.38244119225589,0.61755880774411
136260090,0.38255048647048606,0.6174495135295139
137198957,0.38259303008448087,0.6174069699155191
444146,0.3826381491785905,0.6173618508214095
92233380,0.38274115358860783,0.6172588464113922
131881445,0.38274115358860783,0.6172588464113922
602053,0.38282369546964334,0.6171763045303567
5276958,0.38301372796510735,0.6169862720348926
44451143,0.38325295582689944,0.6167470441731006
92228261,0.38325295582689944,0.6167470441731006
18641862,0.3833315384362854,0.6166684615637146
137256436,0.3835093053063485,0.6164906946936515
54471488,0.38363362943364065,0.6163663705663593
92266802,0.38363362943364065,0.6163663705663593
121217041,0.38363613740840996,0.61636386259159
135456222,0.38371586912730693,0.6162841308726931
513034,0.38381754229559784,0.6161824577044022
137185205,0.3838348933712342,0.6161651066287658
3367,0.38388805499397416,0.6161119450060258
154716223,0.38388805499397416,0.6161119450060258
53869019,0.3838880549939744,0.6161119450060256
44629914,0.3838880549939745,0.6161119450060255
40468020,0.3838880549939745,0.6161119450060255
45039261,0.3838880549939745,0.6161119450060255
54669720,0.3838880549939745,0.6161119450060255
42553747,0.3838880549939745,0.6161119450060255
13072932,0.3838880549939745,0.6161119450060255
8975,0.3838880549939745,0.6161119450060255
657237,0.3838880549939745,0.6161119450060255
13072931,0.3838880549939745,0.6161119450060255
16129586,0.3838880549939745,0.6161119450060255
68197667,0.3838880549939745,0.6161119450060255
46705411,0.3838880549939745,0.6161119450060255
135625267,0.38392202664129926,0.6160779733587007
14604625,0.3842055689977616,0.6157944310022384
137218720,0.3842131819672786,0.6157868180327214
22899187,0.38433040916673844,0.6156695908332616
92236279,0.38455061481957664,0.6154493851804234
21139854,0.38455061481957664,0.6154493851804234
136236455,0.38466365237244293,0.6153363476275571
129787857,0.3849104535850104,0.6150895464149896
136227111,0.38500658704040647,0.6149934129595935
121486894,0.3853271752813293,0.6146728247186707
21140467,0.38542580371586466,0.6145741962841353
14018268,0.3854810672002157,0.6145189327997843
20039,0.38562971957523007,0.6143702804247699
488949,0.38562971957523007,0.6143702804247699
263976,0.38562971957523007,0.6143702804247699
21595512,0.38566660753993653,0.6143333924600635
135583321,0.38573211090535575,0.6142678890946442
140252620,0.3859614149078643,0.6140385850921357
9948218,0.38618881259189974,0.6138111874081003
136138664,0.3862612749287573,0.6137387250712427
135538691,0.3862747477029781,0.6137252522970219
71340416,0.38630861637358027,0.6136913836264197
136274575,0.38638026478016774,0.6136197352198323
504733,0.38645498638217535,0.6135450136178247
13872084,0.3865212164652291,0.6134787835347709
451450,0.3865360110504904,0.6134639889495096
439946,0.3865559623913649,0.6134440376086351
3082596,0.38657003425615655,0.6134299657438435
137628662,0.38673278972406466,0.6132672102759353
3008139,0.38729945169529145,0.6127005483047085
6481831,0.3875563256243205,0.6124436743756795
53835662,0.3875606348233259,0.6124393651766741
21668209,0.38762144906774365,0.6123785509322563
97299294,0.38766670489466026,0.6123332951053397
97299293,0.38766670489466026,0.6123332951053397
91658946,0.38766670489466026,0.6123332951053397
493442,0.38833325169746225,0.6116667483025378
282696,0.3883355151424728,0.6116644848575272
135704115,0.3883801489984885,0.6116198510015115
11601597,0.3885175719301397,0.6114824280698603
11812423,0.38856646548670226,0.6114335345132977
126505,0.38858196943716194,0.611418030562838
18397420,0.38858196943716194,0.611418030562838
135768196,0.3887974986631684,0.6112025013368316
12038994,0.3888472535100459,0.6111527464899541
270266,0.388847253510046,0.611152746489954
121606027,0.38889713716328655,0.6111028628367134
131851102,0.3890857834209267,0.6109142165790733
163285340,0.38922994790728316,0.6107700520927168
67762,0.38951497225331966,0.6104850277466803
2723654,0.38951497225331966,0.6104850277466803
6541377,0.38951497225331966,0.6104850277466803
7156910,0.3895149722533203,0.6104850277466797
2823635,0.38951497225332044,0.6104850277466796
2729612,0.38951497225332044,0.6104850277466796
135583322,0.3896421143038812,0.6103578856961188
71316009,0.3899570434816667,0.6100429565183333
137036988,0.38996367403751897,0.610036325962481
136226295,0.3901154855669259,0.6098845144330741
137077003,0.39013445886870657,0.6098655411312934
135743936,0.39017514611137616,0.6098248538886238
121487449,0.39017747565540717,0.6098225243445928
516084,0.39038616326140296,0.609613836738597
516079,0.39038616326140296,0.609613836738597
135482571,0.3904256009726579,0.6095743990273421
72212339,0.3907402295905432,0.6092597704094568
125508952,0.3907841275235837,0.6092158724764163
91084800,0.3907930688813145,0.6092069311186855
14825075,0.3908161047034926,0.6091838952965074
21852781,0.3908859471484105,0.6091140528515895
393545,0.3913016750847962,0.6086983249152038
125496047,0.39133803318049065,0.6086619668195093
5276642,0.39136351475713005,0.60863648524287
131698258,0.39136351475713005,0.60863648524287
50312,0.39136351475713005,0.60863648524287
131856440,0.3913670800708733,0.6086329199291267
86751178,0.3916938661918191,0.6083061338081809
511856,0.3916982188131627,0.6083017811868373
511854,0.3916982188131627,0.6083017811868373
136752834,0.3918535716001641,0.6081464283998359
135501934,0.3918535716001641,0.6081464283998359
70928815,0.39199772884428863,0.6080022711557114
154705590,0.3920814367820037,0.6079185632179963
135480588,0.3923015307875256,0.6076984692124744
10515947,0.39235781354316424,0.6076421864568358
135518167,0.3927149354272803,0.6072850645727197
136234097,0.3927149354272803,0.6072850645727197
101947567,0.39293624287103013,0.6070637571289699
136691103,0.392941082853969,0.607058917146031
135459434,0.392941082853969,0.607058917146031
135692738,0.392941082853969,0.607058917146031
129291491,0.39299782715383935,0.6070021728461606
11727150,0.3930868057037179,0.6069131942962821
131851734,0.39308881230349335,0.6069111876965066
136217880,0.3934037904419735,0.6065962095580265
121216298,0.3934043857029088,0.6065956142970912
163320836,0.39387986711658707,0.6061201328834129
14102245,0.39387986711658707,0.6061201328834129
96545,0.3941305155731586,0.6058694844268414
135403914,0.3942387499318879,0.6057612500681121
135696522,0.3942387499318881,0.6057612500681119
135812388,0.3942387499318881,0.6057612500681119
136045770,0.3942387499318881,0.6057612500681119
135415644,0.39437410117295113,0.6056258988270489
149094,0.39464760135284727,0.6053523986471527
6474236,0.39494067787942333,0.6050593221205767
133125648,0.39494067787942355,0.6050593221205764
13989334,0.3951443416119177,0.6048556583880823
13989335,0.3951443416119178,0.6048556583880822
21140575,0.39530514773112246,0.6046948522688775
131883201,0.3953873836848204,0.6046126163151796
136250325,0.39548852105507937,0.6045114789449206
3011904,0.3955307488806534,0.6044692511193466
10355712,0.39562659072432727,0.6043734092756727
54263300,0.39562659072432727,0.6043734092756727
121006658,0.39571422271445444,0.6042857772855456
15858561,0.39599060962344446,0.6040093903765555
135538696,0.39607795122332645,0.6039220487766735
156583186,0.3965468630156612,0.6034531369843388
21089,0.3965468630156612,0.6034531369843388
3011895,0.39691553494491094,0.6030844650550891
495959,0.3971173201837216,0.6028826798162784
92280929,0.39750828997670995,0.60249171002329
135412763,0.39754307474381045,0.6024569252561895
11078363,0.39758497328608067,0.6024150267139193
131884262,0.39761081997334413,0.6023891800266559
136227356,0.397693582755715,0.602306417244285
136631979,0.3977754373114808,0.6022245626885192
488241,0.3977946158775574,0.6022053841224426
6610275,0.39783294660493074,0.6021670533950693
65166,0.39783294660493074,0.6021670533950693
40467995,0.39783294660493074,0.6021670533950693
40467994,0.39783294660493074,0.6021670533950693
53796367,0.39783294660493074,0.6021670533950693
3044,0.39783294660493074,0.6021670533950693
23863209,0.39783294660493074,0.6021670533950693
1277764,0.39783294660493074,0.6021670533950693
69621407,0.39783294660493074,0.6021670533950693
6481847,0.3978608355540766,0.6021391644459234
6481848,0.3978608355540766,0.6021391644459234
453168,0.3979327848622983,0.6020672151377017
129864,0.398101853029017,0.601898146970983
135616717,0.3983349885351567,0.6016650114648433
135926583,0.3983349885351568,0.6016650114648432
135440057,0.39848146669733986,0.6015185333026601
272931,0.39849779727590784,0.6015022027240922
131876802,0.3984977972759083,0.6015022027240917
511378,0.39852017301769993,0.6014798269823001
11324342,0.3985202132364086,0.6014797867635914
15172869,0.3985317441544697,0.6014682558455303
14408976,0.39859458231329903,0.601405417686701
131857104,0.39881863739647916,0.6011813626035208
132842,0.39887140400017773,0.6011285959998223
121487445,0.3991720464126258,0.6008279535873742
3008473,0.39919677738531845,0.6008032226146816
3035490,0.39926659542130194,0.6007334045786981
10469019,0.39934013654111444,0.6006598634588856
13989345,0.39950454419763326,0.6004954558023667
259345,0.39954726540228547,0.6004527345977145
503012,0.3995999056631325,0.6004000943368675
135506574,0.3996779598108532,0.6003220401891468
135538692,0.39994752128840305,0.600052478711597
15954525,0.3999905096012102,0.6000094903987898
92148590,0.3999905096012102,0.6000094903987898
11737644,0.4000194121237406,0.5999805878762594
53655871,0.4001902773474191,0.5998097226525809
137100252,0.40021857824797336,0.5997814217520266
5271268,0.40049289133140775,0.5995071086685922
5273749,0.40060483237895006,0.5993951676210499
5271377,0.40060483237895006,0.5993951676210499
453195,0.400605507557672,0.599394492442328
477953,0.40066999907271983,0.5993300009272802
12018568,0.4009038358897553,0.5990961641102447
122130544,0.4009805869650255,0.5990194130349745
136092261,0.4011064233750533,0.5988935766249467
136165051,0.4011064233750533,0.5988935766249467
135562676,0.4011064233750534,0.5988935766249466
15516021,0.4011433939896496,0.5988566060103504
11697484,0.4012292629347507,0.5987707370652493
5271819,0.40130931013354354,0.5986906898664565
511763,0.4013649733467556,0.5986350266532444
6451965,0.4014826320481988,0.5985173679518012
12873547,0.4014826320481988,0.5985173679518012
134693185,0.401482632048199,0.598517367951801
92132221,0.401482632048199,0.598517367951801
124201,0.40159443644963555,0.5984055635503644
512604,0.40162223593972657,0.5983777640602734
3037046,0.40167658775958126,0.5983234122404187
452022,0.40173618001602984,0.5982638199839702
125382,0.40181752827708694,0.5981824717229131
156588427,0.40194723076226413,0.5980527692377359
121486908,0.40201520858119444,0.5979847914188056
