cid,MATS3e,CATS2D_04_DL,MATS1i,SHED_DA,O-056,nRNHO,CATS2D_00_DA,P_VSA_charge_3,MATS1m,GATS3e,QED,GATS6v,CATS2D_03_DL,minsssN,MATS2e,F07[N-O],P_VSA_charge_4,VE2sign_H2,B08[N-O],GATS8v,CATS2D_07_LL,GATS1p,C-030
123631,0.6271605132873207,0.1428571428571428,0.5756136568125749,0.3589191496238029,0.0,0.0,0.0,0.4449438593362681,0.3928732858712976,0.5810545032307176,0.6279554116001688,0.6292951505291974,0.1538461538461538,0.9719891925462124,0.1026780299863948,0.0833333333333333,0.0,0.1605211372214733,0.0,0.6376748145777288,0.05,0.5016256433060402,1.0
124039,0.6642727400035986,0.0,0.7383032349998405,0.0,0.0,0.0,0.0,0.2305339090484761,0.4963167029775527,0.1586211061928371,0.7908377484442721,0.4767086592052079,0.0,0.0,0.4795884616664741,0.0,0.0,0.9414888260712106,0.0,0.4887976143357085,0.0,0.5057511613461296,0.0
126565,0.6559380527807844,0.2142857142857142,0.7526090176198399,0.4231813826640461,0.25,0.0,0.25,0.0,0.4018640016934752,0.6658890974757895,0.3932951850989463,0.7984548138644502,0.3076923076923077,0.0,0.3978519548161838,0.0833333333333333,0.0,0.0430509364763482,1.0,0.7324934124711565,0.275,0.2942957826054778,0.0
126941,0.5037291164108765,0.2142857142857142,0.6257414965148599,0.7938392107956768,0.0,0.0,0.25,0.5383203454290859,0.1819628903265804,0.5209558094250092,0.2182913428364034,0.6578324208361764,0.3846153846153846,0.7630426759728985,0.6224753248167979,0.0,0.2702421935322011,0.1176894857401123,0.0,0.6492843658228171,0.05,0.4416762329126839,0.0
148123,0.5728376680227849,1.0,0.8733024438427521,0.6894596204307611,0.875,0.0,0.5,0.6916017271454274,0.1463849551348967,0.5498809609595113,0.0715081797458728,0.6151480059818862,0.9230769230769232,0.0,0.4881249758826698,0.0,0.0,0.1265634923870077,1.0,0.649772350506324,0.8500000000000001,0.5213646161726966,0.0
156422,0.5312670929760716,0.5714285714285714,0.6780535014662423,0.4859310451674568,0.0,0.0,0.0,0.2468218773970847,0.4939101440818173,0.7787687382621894,0.3328056868485145,0.6277468377402392,0.2307692307692307,0.9622894668708104,0.4150590110313221,0.0833333333333333,0.1341348113882462,0.071588497303941,0.0,0.6467416986210993,0.275,0.5072526657588106,0.0
159324,0.5341712497986624,0.2857142857142857,0.7211566033749595,0.2392794330825352,0.0,0.0,0.0,0.1538932181903053,0.3034419364990723,0.443951155335988,0.4314310140069599,0.6557618218258913,0.3076923076923077,0.6714379751946422,0.3535159024883939,0.0,0.0,0.1431744204983947,1.0,0.6140453200487348,0.375,0.2510724917535696,0.0
176158,0.4648124205129442,0.1428571428571428,0.7377558025701533,0.1130524479553492,0.0,0.0,0.0,0.0,0.2676357328584363,0.5180341592381633,0.7542002314846479,0.6363496797976337,0.1538461538461538,0.0,0.4284851756082576,0.0,0.0,0.1793883616544383,0.0,0.7061611323720219,0.175,0.1854476750111351,0.0
176870,0.7687583082888321,0.2142857142857142,0.5691207967858357,0.3589191496238029,0.0,0.0,0.0,0.3077864363806097,0.4742237968320723,0.6531372942284116,0.5500056925360707,0.6821072121480573,0.2307692307692307,0.0,0.0,0.0833333333333333,0.0,0.2008338940846841,1.0,0.61988597966266,0.125,0.551266728452164,1.0
208908,0.3965521863092062,0.2857142857142857,0.7159765735151067,0.4329153452442825,0.0,0.0,0.0,0.8512141996337813,0.6213521474719947,0.8445474566117731,0.2096023450459401,0.6366598835969852,0.2307692307692307,0.0,0.3290713985936395,0.0833333333333333,0.0,0.1554919210127,0.0,0.6497876854854673,0.225,0.4373735841503506,1.0
216326,0.5161904684885776,0.0714285714285714,0.761515651427545,0.3383922194622668,0.0,0.0,0.0,0.0,0.2915624267209264,0.5455175778454059,0.5956280601173408,0.6812796239349664,0.2307692307692307,0.6108271074470055,0.5408745797014687,0.0833333333333333,0.0,0.3211615010461879,0.0,0.6167256254199466,0.05,0.3765042764139132,0.0
300471,0.5143493392133509,0.2857142857142857,0.8278951042181604,0.2392794330825352,0.0,0.0,0.0,0.0,0.2987285959518205,0.8172781417807723,0.4135793831881508,0.6490879348630325,0.1538461538461538,0.5806265777305872,0.4735794624579444,0.0,0.0,0.502510287255126,0.0,0.494930502589691,0.1,0.2243154954868465,0.0
363863,0.4095949991942403,0.0714285714285714,0.7393357488295538,0.1691961097311334,0.0,0.0,0.125,0.0,0.4384107883528463,0.6116374940857748,1.0,0.7073310751504568,0.0769230769230769,0.0,0.1781543890300631,0.0,0.0,0.2086924978290449,0.0,0.5132736469666368,0.0,0.3890848812463331,0.0
