cid,CATS2D_04_DL,MATS1i,SHED_DA,O-056,nRNHO,CATS2D_05_DL,CATS2D_00_DA,P_VSA_charge_3,SpMAD_X,MATS1m,P_VSA_p_2,GATS3e,LOC,P_VSA_LogP_3,ATSC1e,BIC3,SdssC,QED,SHED_DL,CATS2D_09_DD,GATS6v,P_VSA_charge_2,CATS2D_03_DL,CATS2D_03_DA,MaxdssC,RBF,NssNH,MDEN-23,GATS8m,MDEO-12,GATS7m,JGI3,minsssN,MATS1v,CATS2D_03_AA,DECC,MATS4e,Eig05_AEA(dm),mindssC,MATS2e,F07[N-O],MATS2m,SpDiam_AEA(ed),Qmean,P_VSA_s_6,MATS3m,CATS2D_04_AA,F08[O-O],Chi_Dz(p),ATSC3e,VE2sign_B(v),P_VSA_charge_4,CATS2D_08_DD,Eig04_AEA(dm),B09[N-O],CATS2D_08_DA,SpMAD_AEA(dm),GATS1i,CATS2D_07_DA,MATS1e,CATS2D_06_DL,PW4,GATS2v,JGI6,B10[O-O],Eig02_EA(dm),MATS5e,minaaaC,VE1sign_Dz(p),VE2sign_H2,minsCH3,B10[N-O],F06[C-O],F07[O-O],B08[N-O],GATS8v,CATS2D_07_LL,MATS7e,GATS1p,VE2sign_Dz(i),C-030,O-059,T(N..O),N-072
16681698,0.1428571428571428,0.7137971514460841,0.2261048959106984,0.125,0.0,0.4545454545454546,0.125,0.1538932181903053,0.1665105993509579,0.919758355568026,0.1277785270553092,0.8093814792203592,0.2233606812906948,0.3050684304333116,0.1495822239974534,0.7385896905984364,1.0,0.6309105545332148,0.4514252160001583,0.0,0.5643803487786182,0.222118588981942,0.1538461538461538,0.0952380952380952,0.8685413382738747,0.1336553945249595,0.1666666666666666,0.0,0.3440613521260244,0.0,0.5811026661938125,0.5177985948477756,0.0,0.7208941739171908,0.0,0.5928693024314138,0.6084621049560209,0.704942672862525,0.8771623870603665,0.6858708383634825,0.0,0.3986295226096479,0.3461593797625022,0.2801041958280839,0.1138480719390942,0.1864387974543474,0.0,0.0,1.0000000000000002,0.094261962289633,0.7603057852087677,0.3567128857923595,0.0,0.7271199679550727,0.0,0.0,0.6939320905873485,0.3570904945029685,0.0526315789473684,0.7175421168625064,0.2307692307692307,0.4556929925714853,0.2887166634791797,0.7122242503540243,0.0,0.2248204164946287,0.4712142355727202,0.0502183877558932,0.0692806054319783,0.0832754156882514,0.3087443242630299,0.0,0.0694444444444444,0.0,0.0,0.7034895187353215,0.1,0.3514515299380297,0.551100840954805,0.0662315299996895,0.0,0.25,0.0026331780433461,0.0
17755052,0.0714285714285714,0.5647181445965623,0.3391573438660477,0.0,0.0,0.0,0.0,0.7140567766781238,0.3174351494031882,0.8576994171366248,0.1108462151379766,0.744480402616645,0.1606292271239448,0.09932738087081,0.1500318218454562,0.6315330921188678,0.5799997146761309,0.3612952068061019,0.2802822044900528,0.0,0.7340414159574011,0.1124187072072503,0.1538461538461538,0.0,0.4648866145408057,0.2693056456846202,0.0,0.4740012879322953,0.4189427414406854,0.0149151662937888,0.563856915628177,0.2767100056529118,0.6378411944018338,0.5908762875020772,0.1333333333333333,0.38693925769721,0.526134034166123,0.7649336051254456,0.5685237829305246,0.3395497277791864,0.0833333333333333,0.3866005337566783,0.5438686168770062,0.2518368941226148,0.1070376672334081,0.443767749625176,0.0833333333333333,0.0,0.1116263448826701,0.1446410661296847,0.0754721769577122,0.1463590060820978,0.0,0.7343150693377264,1.0,0.0,0.5639964581374866,0.4660488901740369,0.0526315789473684,0.7903283332022153,0.0,0.6270508915640308,0.2038995993662363,0.5276131790278001,0.0,0.2248204164946287,0.4085296074872482,0.7542244948361895,0.5635869486367305,0.0384061334820072,0.5524452083587659,1.0,0.0555555555555555,0.0,0.0,0.66367912779612,0.05,0.4231836180731854,0.5196862339031021,0.5868763827023992,0.0,0.25,0.0392951184930119,0.0
17756401,0.3571428571428571,0.973199804553088,0.3383922194622668,0.125,0.5,0.4545454545454546,0.125,0.1326886992823538,0.6467733831899718,0.2422846227608434,0.104900261431179,0.1995710882949536,0.3677805994727314,0.3341277403375884,0.1271003800487886,0.8582599386150971,0.5253927672354664,0.2931368313841268,0.6341624941894654,0.0833333333333333,0.6247743474743211,0.5289082925524676,0.3846153846153846,0.0952380952380952,0.4216726700088553,0.3701226309921975,0.1666666666666666,0.0,0.4175331775461655,0.0,0.7707804921808842,0.2868852459016395,0.0,0.9141445033239428,0.0666666666666666,0.333385081337105,0.4404832351664327,0.7161617374580418,0.3291422457092972,0.3631261140048401,0.0,0.1665618349084717,0.3545800584645624,0.3334842667538251,0.0920224985585185,0.5705390272858685,0.0,0.0625,0.1818162511390981,0.0580432311530279,0.0836214574835274,0.0,0.0,0.7039599721122014,1.0,0.0333333333333333,0.7823163591277593,0.1279402921465765,0.0,0.6744082380749276,0.4615384615384615,0.4938396082313526,0.5096695000993724,0.4650950785152083,0.0,0.0,0.3454232462027305,0.7331797469518507,0.4544414004365822,0.261471330189308,0.0,1.0,0.0972222222222222,0.0,1.0,0.6668102894039069,0.275,0.2583608399640954,0.2124756220161525,0.3774700158472645,0.0,0.0,0.0064816690297751,0.125
17756403,0.1428571428571428,0.954534953141881,0.3435064131153675,0.125,0.5,0.2727272727272727,0.125,0.1326886992823538,0.6467733831899718,0.2809227158727578,0.0972045414378756,0.3230610622593443,0.3677805994727314,0.3341277403375884,0.1410044468310625,0.8476417094942073,0.516399452497477,0.3341374063334397,0.6460803648358249,0.0,0.6365376271183244,0.5289082925524676,0.1538461538461538,0.0476190476190476,0.3823694835128554,0.3798627002288332,0.1666666666666666,0.0,0.4321348859513975,0.0484610485245096,0.7876643270973853,0.2868852459016395,0.0,0.8437543314631138,0.1333333333333333,0.333385081337105,0.4308916952902625,0.7161617374580418,0.3244322329667323,0.3366173638428327,0.0,0.1988294843644984,0.3545800584645624,0.3695332606374388,0.1034874420185754,0.6319416873925754,0.0,0.0625,0.1729250023264314,0.0856852254026286,0.087595875442295,0.0,0.0,0.7039599721122014,1.0,0.0333333333333333,0.7823163591277593,0.1103394729611412,0.0,0.6826866400199796,0.3076923076923077,0.4938396082313526,0.4787674473704654,0.4650950785152083,1.0,0.0,0.2971204766118333,0.5453077980594647,0.334868448631714,0.261471330189308,0.0,0.0,0.125,0.0,1.0,0.6876588052612815,0.275,0.2339093955066584,0.2468317142488215,0.3649846529460988,0.0,0.0,0.003848490986429,0.125
23725625,0.2142857142857142,0.7392768763376464,0.2848743178421782,0.0,0.0,0.2727272727272727,0.0,0.3011604146037199,0.5289951086394948,0.4271210804778537,0.0963153767462784,0.4683922578059051,0.1429622453424092,0.1507295852617888,0.098286950884123,0.5986709619508535,0.5934293192912483,0.8302985761628505,0.3837589045451597,0.0,0.6602282895739623,0.4285714285714294,0.2307692307692307,0.0,0.6949444844533657,0.2446573323507734,0.1666666666666666,0.1251887488855436,0.3367774739082407,0.0,0.558840692502836,0.3639344262295092,0.6579259168316904,0.6737352481850538,0.1333333333333333,0.4679655043414908,0.4843383793800448,0.8107817870745898,0.4262190284848022,0.4122402747952033,0.0833333333333333,0.3594810728281771,0.4018570902249783,0.2639503889485554,0.1088597819775588,0.7622289894357301,0.0,0.0,0.102084926426151,0.0961967311630581,0.0579177571488824,0.1341348113882462,0.0,0.7713467890861563,0.0,0.0666666666666666,0.7012073732689634,0.2705384745749178,0.0,0.6704051059053189,0.1538461538461538,0.6009880377859328,0.4632893466098872,0.5864362783491454,1.0,0.3137029067366912,0.3262674405360894,0.0502183877558932,0.5556448673594888,0.0013305449621561,0.0,1.0,0.0555555555555555,0.0625,1.0,0.592445352829435,0.175,0.6437963355035246,0.4165639011773616,0.2590813640196037,0.0,0.0,0.0166092768887988,0.375
24180719,0.1428571428571428,0.7268184321357574,0.2665369337608884,0.0,0.0,0.1818181818181818,0.0,0.8344784043991345,0.3039709842019675,0.6117400393150787,0.099698205253266,0.6177336107242092,0.3728322357825029,0.0983529599619257,0.2482607664152436,0.8412834209097086,0.5099770568319769,0.6398322615286458,0.481598030998054,0.0,0.663118213942474,0.2360596826950989,0.3076923076923077,0.0,0.1248669369155356,0.5035389282103122,0.1666666666666666,0.0,0.4410444767063089,0.0,0.527294414031324,0.561020036429873,0.0,0.7363586683157257,0.0,0.3038978256446615,0.6282077687819415,0.7562693095346277,0.2017984760522398,0.450585402203434,0.0,0.3176991364545479,0.4835002096319352,0.3587346133006627,0.1670499112235461,0.6189106233844598,0.0,0.0,0.1690635146886049,0.196117338024209,0.0070680131204139,0.0,0.0,0.7314847780494644,1.0,0.0333333333333333,0.7404558264881453,0.227478596010725,0.0,0.6668291834247114,0.1538461538461538,0.6455449009907285,0.358646435173871,0.8419174814853847,0.0,0.0,0.3523308581417081,0.2716754100962715,0.2968398018976422,0.0360626894236278,0.7097194812847017,1.0,0.0694444444444444,0.125,0.0,0.644634566171876,0.075,0.6167174699372873,0.4624664617856559,0.295137564468616,0.0,0.0,0.0113429208021065,0.0
24748573,0.3571428571428571,0.7754197762799099,0.2311626737912114,0.0,0.0,0.2727272727272727,0.125,0.3844271272387805,0.3686615588884327,0.2344960483954968,0.0996729810244304,0.435234607162197,0.1987547215832358,0.17226238315633,0.0949451234052216,0.9324182351051422,0.5081206910949765,0.534892221416958,0.5052517528818248,0.0,0.6378901146420185,0.0953644760829309,0.3846153846153846,0.0,0.1158526992547156,0.2706521739130432,0.1666666666666666,0.0,0.4971192119973728,0.0,0.5428176336525413,0.3091334894613583,0.0,0.8006422411818023,0.0,0.2268873023686228,0.4876165059348708,0.6826108462673608,0.192076247340285,0.5207782062563499,0.1666666666666666,0.3324461875333814,0.4430852424530558,0.335474371937672,0.149245581044526,0.4525864379956542,0.0,0.0,0.1930623816310126,0.0432558218490087,0.0975769588143447,0.0,0.0,0.6358973892551124,0.0,0.0333333333333333,0.5140957071947572,0.2168057996794524,0.1052631578947368,0.5021564689927563,0.1538461538461538,0.6279343259864228,0.3004153590161905,0.6257340556288982,0.0,0.104567635578897,0.3657936887712907,0.4920153220844454,0.3287077530136935,0.2314763829201331,0.0,0.0,0.0555555555555555,0.0,1.0,0.6482620086038378,0.25,0.6143262203375355,0.1915303068449742,0.2857242415744729,0.0,0.0,0.0081020862872189,0.0
24756910,0.3571428571428571,0.7339375262158733,0.6360383035403783,0.125,0.5,0.2727272727272727,0.125,0.4404751356629635,0.712884065271167,0.3681395361290464,0.1383671606958927,0.4641810287568469,0.5655007218231535,0.226463750864882,0.132950757180729,0.8653441248376232,0.5536807547084945,0.2149015290775556,0.8468821410218768,0.0,0.6735450046340169,0.3860511496953243,0.3846153846153846,0.0476190476190476,0.3370856346987468,0.6615942028985489,0.3333333333333333,0.0,0.4726839246525132,0.0422969960054939,0.69585989696428,0.1611440530170911,0.0,0.6405453039994425,0.1333333333333333,0.5101086111165799,0.5377802913566686,0.7928589504425542,0.4306851322993196,0.299685119137527,0.0,0.3432632896702809,0.4259129544196522,0.341863043114639,0.1568363871837048,0.7675567215306455,0.0833333333333333,0.0625,0.0735570464123974,0.1126147913766522,0.1035805018834755,0.0,0.0,0.7354287592155903,0.0,0.0333333333333333,0.4739219806608821,0.3429443724848649,0.0,0.6668981918798402,0.1538461538461538,0.5012499564178236,0.4644407399402696,0.4704251499200023,0.0,0.2248204164946287,0.3563900999184727,0.594326453194333,0.7228389430429936,0.1604809323135715,0.6859606115495073,0.0,0.0833333333333333,0.0,1.0,0.6176322847234006,0.2,0.3135423754632334,0.4519089392350399,0.8870673465545337,1.0,0.0,0.026939436905003,0.125
24776445,0.2142857142857142,0.7598323663620737,0.1691961097311334,0.0,0.0,0.1818181818181818,0.0,0.4062703402975132,0.3018595431560298,0.5193366872223184,0.0836475915445652,0.7983266186262595,0.2245467809955304,0.2075333677919587,0.1315376190621695,0.8553040796398403,0.546230559630499,0.6875681756610865,0.3249607852502041,0.0,0.7300969447163469,0.2382216189400736,0.2307692307692307,0.0,0.3009085884874554,0.3356926188068754,0.1666666666666666,0.0,0.3691051123214359,0.0,0.6473492484426459,0.4277544796035085,0.0,0.7214934840770179,0.0,0.3241296781236529,0.5418244484270773,0.713477106011522,0.3916666894067082,0.4859151526451951,0.25,0.2512008167451162,0.5459530754912734,0.2330531092184788,0.1781784934697658,0.4540113219523229,0.0,0.0,0.1432241825146619,0.0995178182557263,0.2169600183668873,0.0,0.0,0.718099618862578,0.0,0.0,0.7345252442603805,0.2577771897144865,0.1052631578947368,0.7286491898880776,0.0769230769230769,0.5105478250081071,0.3165123647201427,0.7123935903855768,0.0,0.2766599589277922,0.3963465624621589,0.0502183877558932,0.0396067273333907,0.0798018169389737,0.4638715010331504,0.0,0.0555555555555555,0.125,0.0,0.5173746792283721,0.225,0.8704799225524311,0.358884361989714,0.155388032183541,0.0,0.0,0.0095199513874822,0.125
24785538,0.2142857142857142,0.6741027395204149,0.5500667416959537,0.0,0.0,0.1818181818181818,0.0,0.1645646457290489,0.4107959607314795,0.462949868815237,0.1309760552557046,0.4785233037542274,0.1234320304423549,0.1282223664583633,0.1566809645025822,0.8381139553342174,0.5641825107190075,0.3694115111101334,0.5976545533655508,0.0,0.6788425849863157,0.2375255278737749,0.4615384615384615,0.1428571428571428,0.3880806097986816,0.3436853002070389,0.3333333333333333,1.0,0.422872655913268,0.0,0.6646048480844637,0.3065573770491803,0.7879858693887327,0.649611047698141,0.2,0.4172557049754871,0.3771323235046744,0.8009793676481887,0.4856853252981034,0.5627634252313406,0.0833333333333333,0.5565626512124069,0.6513338455892399,0.3075875784174541,0.1087925075875152,0.6922068516248773,0.0833333333333333,0.0,0.086799940330738,0.1307277749473639,0.1690553269620756,0.3896826666386787,0.0,0.7352507119174689,1.0,0.0,0.56484829383436,0.3511023625300873,0.1578947368421052,0.6491739272208013,0.3076923076923077,0.6008794178189419,0.5067885984306925,0.6139904300895781,0.0,0.2129453003364118,0.3462573921613539,0.6572953015281644,0.1448441284878003,0.2662848860879278,0.808571527640608,1.0,0.0277777777777777,0.0,0.0,0.6556940369754393,0.2,0.5520786412023545,0.4443535522466035,0.0917966633624061,0.0,0.0,0.0105327121733846,0.125
