cid,Probability of not Antimicrobial,Probability of Antimicrobial
324745,0.7681813114327674,0.2318186885672326
90673800,0.7682628594162986,0.23173714058370146
466400,0.7685328953112665,0.2314671046887335
373406,0.7685992186965506,0.23140078130344943
132471333,0.7690344670958394,0.23096553290416058
53856507,0.7692157219671159,0.23078427803288418
146013109,0.7692203221170325,0.23077967788296752
10377507,0.7692766231101831,0.23072337688981695
119184,0.7692766231101831,0.23072337688981695
156588467,0.7694873264620358,0.23051267353796423
10516095,0.7695159865176058,0.23048401348239425
134229909,0.7695618558077297,0.23043814419227024
9859433,0.7695905379512862,0.2304094620487138
5273626,0.7696820617155369,0.23031793828446315
135479940,0.7696862094734547,0.23031379052654527
121487330,0.7698753826326176,0.23012461736738246
129533,0.7699297569009087,0.23007024309909135
137128749,0.7701250578821951,0.22987494211780488
503009,0.7706492684328885,0.22935073156711155
503008,0.7706492684328885,0.22935073156711155
136629981,0.7713890801892576,0.22861091981074244
136232705,0.7713890801892576,0.22861091981074244
72283,0.7713955694639496,0.22860443053605034
59504014,0.7714816080794094,0.22851839192059067
59503999,0.7714816080794094,0.22851839192059067
137100252,0.7722441970925742,0.22775580290742578
16094546,0.7723068134297847,0.2276931865702153
76844801,0.772379652760791,0.227620347239209
15104857,0.7724629337161265,0.22753706628387352
46876980,0.7725649551029257,0.22743504489707428
11043123,0.772564955102926,0.22743504489707397
68200381,0.7725954247680228,0.22740457523197724
68742335,0.7728753307087233,0.22712466929127678
131884262,0.7731292965007083,0.2268707034992917
7272010,0.7734538067090464,0.2265461932909536
352979,0.7738399188784313,0.22616008112156866
188325,0.7738399188784324,0.22616008112156757
68854303,0.7738399188784324,0.22616008112156757
121486926,0.7739194300248928,0.2260805699751072
10035668,0.7740124936600152,0.22598750633998482
25231310,0.7741380323853778,0.22586196761462216
59252566,0.7746764065666933,0.22532359343330668
501519,0.7748489446838199,0.22515105531618007
146159993,0.7761413200187115,0.22385867998128847
156589119,0.7761413200187133,0.22385867998128667
71404177,0.7763939988654098,0.22360600113459012
196788,0.7764508466638205,0.2235491533361795
1516004,0.776606802301546,0.22339319769845395
1516006,0.776606802301546,0.22339319769845395
5207401,0.7766068023015468,0.2233931976984532
452767,0.7767831200311022,0.22321687996889777
71308982,0.7768991296984049,0.2231008703015951
139267848,0.7770653217405039,0.22293467825949603
139267847,0.7770653217405039,0.22293467825949603
71434333,0.7770657087951665,0.2229342912048336
14885927,0.7771398081425926,0.22286019185740738
139267828,0.7772477541853168,0.22275224581468323
139591931,0.7772477541853168,0.22275224581468323
502240,0.7773362386319251,0.2226637613680749
121486876,0.778109805153914,0.22189019484608596
92294441,0.7784340182498835,0.22156598175011658
131858139,0.7784340182498835,0.22156598175011658
92294440,0.7784340182498835,0.22156598175011658
188257,0.7784340182498835,0.22156598175011658
46941505,0.7784340182498835,0.22156598175011658
581037,0.7789259454200996,0.22107405457990031
135541253,0.7797524272808889,0.22024757271911105
131885191,0.779801938698827,0.220198061301173
121487110,0.7798191060062467,0.2201808939937533
477016,0.7798191060062538,0.22018089399374619
477017,0.7798191060062538,0.22018089399374619
45052344,0.7799899900862235,0.22001000991377653
146013745,0.7801320076962548,0.21986799230374524
3007847,0.7804346511016124,0.2195653488983876
145710473,0.7804473413716043,0.21955265862839565
71352205,0.7806911856044255,0.21930881439557445
14991720,0.7808127182306521,0.21918728176934793
16397765,0.7809295799667937,0.21907042003320634
90472729,0.7810350828842934,0.2189649171157067
3010376,0.7811756711964144,0.21882432880358565
92242762,0.7811756711964144,0.21882432880358565
121487149,0.781418338907365,0.218581661092635
135722152,0.7815386760601876,0.21846132393981244
135888863,0.7815386760601909,0.21846132393980913
118855897,0.7819275261808649,0.21807247381913503
92245374,0.7820261668207406,0.21797383317925945
3010377,0.7820261668207406,0.21797383317925945
131854196,0.7825979192287285,0.21740208077127152
97548424,0.7827000149875877,0.2172999850124123
336810,0.7827000149875877,0.2172999850124123
121487430,0.7827418316640078,0.2172581683359922
121487084,0.7829760117416242,0.2170239882583757
11812423,0.7834967758388424,0.2165032241611576
90470943,0.783594052251975,0.21640594774802505
13845038,0.7836317805099384,0.21636821949006163
3009329,0.7836366356292968,0.2163633643707032
11358266,0.7837696146534437,0.21623038534655628
91084800,0.7838318504301145,0.21616814956988556
121487290,0.7838946190002026,0.21610538099979734
485376,0.784011405625929,0.21598859437407106
336967,0.7843640041685408,0.21563599583145918
189921,0.7852752792481199,0.21472472075188007
341889,0.785470188413723,0.21452981158627699
131887395,0.785470188413723,0.21452981158627699
288216,0.7854911473978556,0.21450885260214436
5386,0.7854911473978561,0.21450885260214395
445408,0.7857202016472149,0.21427979835278513
65049,0.7857202016472149,0.21427979835278513
7078333,0.7857202016472149,0.21427979835278513
7282396,0.7857202016472149,0.21427979835278513
6618663,0.7857202016472149,0.21427979835278513
6566029,0.7857202016472149,0.21427979835278513
13020162,0.7857202016472152,0.2142797983527848
57057957,0.7857202016472152,0.2142797983527848
464603,0.7859256700003026,0.2140743299996974
58463530,0.7861011134625877,0.21389888653741224
3008206,0.7861786788715731,0.2138213211284269
5278744,0.7862492149696003,0.21375078503039974
121487458,0.7862809617024957,0.21371903829750424
288485,0.7865143145252093,0.21348568547479074
70385614,0.7865309716154534,0.2134690283845466
260472,0.7866147367503651,0.21338526324963494
149,0.7867269581008385,0.21327304189916152
58108938,0.7867269581008385,0.21327304189916152
439176,0.7867269581008427,0.21327304189915736
688097,0.7867269581008427,0.21327304189915736
99302,0.7867269581008427,0.21327304189915736
145710370,0.7868104253858017,0.21318957461419832
510946,0.7869901050497575,0.21300989495024247
13989347,0.7873969896657258,0.21260301033427426
57368267,0.7873969896657258,0.21260301033427426
444437,0.7876975148423326,0.21230248515766736
21117205,0.7878882559450643,0.2121117440549357
129371096,0.7878882559450702,0.2121117440549298
59035009,0.7879051337676339,0.212094866232366
11161826,0.7879344886870082,0.21206551131299178
121606027,0.7879838008251979,0.21201619917480205
15024543,0.7881196600172107,0.21188033998278938
453111,0.78821452003676,0.21178547996324007
5270,0.78862157652452,0.21137842347547994
22879197,0.7886215765245205,0.2113784234754795
6603995,0.7886215765245205,0.2113784234754795
131873466,0.7888312352400785,0.2111687647599215
21732821,0.7894692291929264,0.21053077080707355
510990,0.7894692291929264,0.21053077080707355
510992,0.7894692291929264,0.21053077080707355
44451061,0.7896463434729313,0.2103536565270687
92229125,0.7896463434729313,0.2103536565270687
54256130,0.7896873143146077,0.2103126856853923
191803,0.7899597013746442,0.21004029862535578
71444982,0.7901845662242011,0.20981543377579887
65161,0.7903979617345103,0.20960203826548973
6479249,0.7904920668289002,0.2095079331710998
6426867,0.7907975983784714,0.20920240162152853
6426868,0.7907975983784714,0.20920240162152853
133609839,0.7909110735388217,0.20908892646117824
68015240,0.7914471020060254,0.20855289799397456
10680712,0.791447102006026,0.20855289799397403
73316,0.7915371735779957,0.20846282642200434
135959545,0.7917524354678465,0.20824756453215357
135789978,0.7917524354678465,0.20824756453215357
137138632,0.7917524354678465,0.20824756453215357
137138689,0.7917524354678465,0.20824756453215357
10043561,0.79201421353818,0.20798578646182
13042007,0.7921349383333384,0.20786506166666166
92228353,0.792347134586142,0.20765286541385797
92228352,0.792347134586142,0.20765286541385797
129360616,0.792347134586142,0.20765286541385797
15277004,0.792347134586142,0.20765286541385797
77520304,0.7929132428553443,0.2070867571446557
71229475,0.7929242179480349,0.20707578205196514
512595,0.7931210266154238,0.20687897338457617
91669385,0.7931511532792059,0.20684884672079412
67703952,0.7931654066696283,0.20683459333037166
289637,0.7933387596991095,0.2066612403008905
70798618,0.7934711190399582,0.20652888096004182
92021816,0.7934711190399638,0.20652888096003622
11301215,0.7934711190399638,0.20652888096003622
459903,0.7935375841686695,0.20646241583133051
126283,0.7935375841686756,0.20646241583132438
13965967,0.7935933101567193,0.2064066898432807
6509777,0.7938544564877963,0.20614554351220368
22899176,0.7942777292904074,0.20572227070959262
471434,0.7942800294003847,0.2057199705996154
513870,0.7945496810990222,0.20545031890097779
439924,0.7954710751090013,0.20452892489099878
14310478,0.7956704514175192,0.2043295485824808
11776423,0.7958001485739143,0.2041998514260856
10061135,0.7961732201328001,0.20382677986719988
121486796,0.7963018729682089,0.20369812703179116
14191021,0.7966366511357017,0.20336334886429827
71412032,0.7967700410073787,0.20322995899262128
90477183,0.7968753805502075,0.20312461944979252
245694,0.7971087245011679,0.20289127549883215
92159758,0.7971087245011682,0.20289127549883176
10087961,0.7972487481307509,0.20275125186924917
9943400,0.7972512427375704,0.20274875726242964
15928727,0.7972512427375704,0.20274875726242964
500903,0.7973813751893037,0.2026186248106962
13830457,0.7973813751893037,0.2026186248106962
137705912,0.7973813751893037,0.2026186248106962
156588755,0.7974397023182398,0.20256029768176018
11208563,0.797456916070527,0.20254308392947293
13833659,0.7976121797832376,0.20238782021676235
451452,0.7976121797832474,0.20238782021675256
121487307,0.7976752184237098,0.2023247815762902
3011895,0.7977048168555636,0.20229518314443642
11770144,0.7980433683821857,0.20195663161781424
439946,0.7984225893384944,0.20157741066150564
135704115,0.7993766463758696,0.20062335362413042
93982611,0.7993947131843436,0.20060528681565637
5278546,0.7995638190797307,0.20043618092026932
92236348,0.8001581173651675,0.19984188263483255
89661937,0.8003130351118959,0.19968696488810406
54695434,0.8006066470278753,0.19939335297212465
54694525,0.8006066470278806,0.19939335297211933
6479393,0.8006131322950759,0.19938686770492406
137004572,0.8006636796990423,0.19933632030095771
490040,0.8007589145280817,0.1992410854719183
167994,0.8007589145280817,0.1992410854719183
11831681,0.8008806085132739,0.19911939148672608
121486935,0.8013449914130111,0.19865500858698895
76845493,0.8014722247516437,0.19852777524835635
453662,0.801616070730361,0.19838392926963902
66678676,0.8018869206195175,0.19811307938048253
171229,0.8021186246756338,0.19788137532436628
513858,0.8021822495439187,0.19781775045608133
3008126,0.8022744485395352,0.19772555146046483
454870,0.8023580663743648,0.19764193362563523
71412031,0.8024092333759729,0.19759076662402708
3007906,0.802522581575888,0.19747741842411207
14481266,0.8025253556475482,0.19747464435245177
131852043,0.8027550953321132,0.19724490466788686
13375939,0.8027737630714707,0.19722623692852928
71374297,0.8028953170631965,0.1971046829368035
5272148,0.8034301541705177,0.1965698458294823
23260220,0.8039864807870148,0.19601351921298515
72501,0.804056563686851,0.19594343631314903
94358774,0.8041277209599977,0.19587227904000232
10266797,0.8041966585392712,0.19580334146072872
118988859,0.8043870212869942,0.19561297871300573
13941599,0.8044410864361176,0.1955589135638824
131176102,0.8047148780692334,0.19528512193076666
54148415,0.8050979876295781,0.19490201237042198
513477,0.8052516899881607,0.19474831001183932
92132209,0.8056863072397945,0.19431369276020546
162450,0.8056863072397945,0.19431369276020546
6553883,0.8056863072397945,0.19431369276020546
2783888,0.8056863072397974,0.19431369276020263
131884916,0.8058363246144448,0.1941636753855552
69762616,0.8058954971610928,0.19410450283890718
13121580,0.8066886840009888,0.19331131599901122
2783871,0.8066886840009979,0.19331131599900206
512724,0.8067467701262098,0.19325322987379026
24885222,0.807258993409278,0.19274100659072207
121486885,0.8076474861739973,0.19235251382600266
10403118,0.8081101744905185,0.19188982550948153
265298,0.8081101744905185,0.19188982550948153
9796227,0.8087794651442084,0.19122053485579163
135542450,0.8090088182346524,0.19099118176534757
133638842,0.8094307260900324,0.19056927390996756
14237003,0.8097580114645155,0.19024198853548452
451414,0.8098554929548936,0.1901445070451064
101701806,0.8098919134153005,0.19010808658469946
513278,0.8099411120920215,0.1900588879079786
56985150,0.8100929849261971,0.1899070150738029
7271995,0.8100929849261997,0.18990701507380028
6915711,0.8100929849261997,0.18990701507380028
3012250,0.8100929849261997,0.18990701507380028
7271997,0.8100929849261997,0.18990701507380028
14351078,0.8102919371665578,0.18970806283344224
117908218,0.8102972445181996,0.18970275548180038
640874,0.810428857838625,0.189571142161375
501518,0.8111406394101724,0.18885936058982755
101335354,0.8111694326703391,0.18883056732966083
3036587,0.8114611260996283,0.18853887390037177
135440057,0.8117353005946617,0.18826469940533824
14826135,0.8119925801150745,0.18800741988492553
50940619,0.8123925816854249,0.18760741831457511
128924,0.8126772664602044,0.1873227335397955
5278547,0.8130183215104468,0.1869816784895532
21769885,0.8132483958443374,0.1867516041556626
3007919,0.8135610436974382,0.18643895630256177
14071470,0.8135628736387099,0.18643712636129003
490622,0.8138092840610947,0.1861907159389053
272931,0.8138564985847115,0.1861435014152885
131876802,0.8138564985847128,0.18614350141528727
3011924,0.814171977419289,0.1858280225807109
59731278,0.8142239106442609,0.18577608935573908
142,0.8142239106442617,0.18577608935573836
25201172,0.8142239106442619,0.18577608935573803
40467849,0.8142239106442619,0.18577608935573803
6928544,0.8142239106442619,0.18577608935573803
449044,0.8142239106442619,0.18577608935573803
23638944,0.8142239106442619,0.18577608935573803
40467848,0.8142239106442619,0.18577608935573803
1277776,0.8142239106442619,0.18577608935573803
124363198,0.8142239106442619,0.18577608935573803
439182,0.8142239106442619,0.18577608935573803
6398669,0.8142239106442632,0.1857760893557368
133636852,0.8142239106442659,0.18577608935573403
490310,0.8148888574650243,0.18511114253497576
24011706,0.8150619477538227,0.18493805224617735
125507539,0.8151448600998612,0.18485513990013885
155906552,0.8151744724166313,0.18482552758336868
11088516,0.81536006492549,0.18463993507451001
352990,0.8153600649254944,0.18463993507450557
10635061,0.8154367512595821,0.1845632487404178
156594028,0.8158361519826097,0.18416384801739025
233065,0.8159861253957486,0.1840138746042515
11151091,0.8159861253957537,0.1840138746042463
9836189,0.8159982055737421,0.18400179442625783
453193,0.8160413019661926,0.18395869803380735
453194,0.8160413019661926,0.18395869803380735
21140595,0.8164752004476932,0.1835247995523068
25257533,0.8168645417339292,0.1831354582660708
122130544,0.8172296710566799,0.18277032894332013
122129480,0.8173827830311957,0.18261721696880434
72756109,0.8176805532274162,0.1823194467725838
156595061,0.8176805532274205,0.18231944677257955
11833831,0.8179010439683968,0.18209895603160317
154703233,0.8180518404038479,0.18194815959615207
3008190,0.8195327385387683,0.18046726146123176
9921121,0.8198226569704545,0.18017734302954552
464377,0.8199930519873502,0.18000694801264985
131881832,0.8200268049725183,0.17997319502748169
308234,0.8200268049725185,0.17997319502748155
15279197,0.8200917574522073,0.17990824254779272
29979263,0.8200917574522073,0.17990824254779272
139026034,0.82009175745221,0.17990824254779
6454582,0.821144151294425,0.178855848705575
122220071,0.8212733048479296,0.17872669515207043
453494,0.8213680128143761,0.17863198718562384
44308761,0.8213850422793927,0.17861495772060734
472635,0.8213850422793956,0.1786149577206044
453016,0.821391959592305,0.17860804040769498
121010792,0.8214971606259699,0.17850283937403014
67785162,0.821734619508367,0.17826538049163293
453020,0.8219269965812412,0.17807300341875876
453025,0.8219269965812412,0.17807300341875876
14018566,0.8220189210045593,0.1779810789954407
15217941,0.8226316433425404,0.17736835665745967
188319,0.8226316433425449,0.17736835665745515
450447,0.8226316433425449,0.17736835665745515
509186,0.822833021933522,0.17716697806647802
509184,0.822833021933522,0.17716697806647802
453461,0.822833021933522,0.17716697806647802
135506203,0.8239001907975423,0.17609980920245769
16076141,0.8240619446082069,0.17593805539179305
466401,0.8246194082036201,0.17538059179637988
515218,0.8255222797521062,0.1744777202478937
53683382,0.8256144531961479,0.17438554680385207
6479208,0.8261257945829099,0.17387420541709003
21821293,0.8261353101664836,0.17386468983351644
4393085,0.8264003163694439,0.17359968363055614
100998155,0.826459346123811,0.17354065387618903
92231357,0.826459346123811,0.17354065387618903
101586084,0.8270609052160736,0.17293909478392638
490440,0.827574491798146,0.17242550820185404
10563947,0.8276249943480853,0.1723750056519147
161884,0.8280384120371567,0.17196158796284328
92233609,0.8280384120371567,0.17196158796284328
424081,0.8280384120371584,0.1719615879628415
5271016,0.828114220760074,0.17188577923992593
69906675,0.8283181315989678,0.17168186840103217
14079545,0.8283504364119916,0.17164956358800845
71023056,0.8284238292316666,0.17157617076833348
10892274,0.8287076790492695,0.17129232095073058
285676,0.8289214200225508,0.17107857997744919
3045029,0.8290572302026529,0.17094276979734707
67463685,0.8291010113063401,0.17089898869365994
9813886,0.8291729448504125,0.17082705514958754
71303724,0.829237403335503,0.17076259666449697
101685599,0.8295859740812589,0.1704140259187411
15217015,0.8297689072688479,0.17023109273115208
121487370,0.830345835123202,0.1696541648767979
6480510,0.8306647826742761,0.16933521732572382
135412706,0.8309157281992591,0.16908427180074095
20847520,0.8309321149871561,0.16906788501284387
456289,0.8310058389924241,0.16899416100757592
490265,0.8313559503956948,0.16864404960430524
121486927,0.8314676095419574,0.16853239045804258
502243,0.8318346140909088,0.16816538590909122
11001292,0.8320307098303837,0.16796929016961626
127258188,0.832108201192453,0.16789179880754707
67353063,0.8330780867965235,0.16692191320347646
3080611,0.8340604128859406,0.1659395871140594
267352,0.8341370417171454,0.16586295828285455
151237987,0.8347817541214266,0.1652182458785733
45052555,0.834830408533808,0.16516959146619206
18778,0.8349452780920412,0.16505472190795872
71434113,0.8350362401976842,0.16496375980231584
15673509,0.8356308058069819,0.16436919419301807
121008378,0.8356921522432896,0.16430784775671034
92252368,0.8360188999993938,0.16398110000060614
21826754,0.8360188999993938,0.16398110000060614
13845034,0.8364024147523749,0.1635975852476251
3080604,0.8365041642611646,0.16349583573883547
121487533,0.8365774710732152,0.16342252892678483
14826131,0.8366533712397518,0.1633466287602482
150628,0.8366555508605313,0.1633444491394687
22875360,0.8366653505954289,0.16333464940457107
25182694,0.8369511762083915,0.16304882379160845
1260547,0.8375244826860069,0.1624755173139931
121487030,0.8377286358669458,0.16227136413305424
156594562,0.83820712163471,0.16179287836529
9899566,0.8383926398944461,0.16160736010555385
451893,0.8383926398944461,0.16160736010555385
71303902,0.838461167394619,0.1615388326053811
121486955,0.8388985369166937,0.16110146308330636
92132205,0.8389626179755644,0.16103738202443565
124428631,0.8389626179755644,0.16103738202443565
107502,0.8389626179755644,0.16103738202443565
27191376,0.8389626179755644,0.16103738202443565
29982343,0.8389626179755644,0.16103738202443565
45039580,0.8389626179755644,0.16103738202443565
59504108,0.8390157735212633,0.16098422647873664
59504127,0.8390157735212633,0.16098422647873664
59504000,0.8390157735212633,0.16098422647873664
5271018,0.8391384032083536,0.16086159679164633
155377,0.8391491282360681,0.1608508717639318
495537,0.8399619207478509,0.16003807925214905
156595567,0.840015187988936,0.15998481201106393
71402186,0.8401161928632943,0.15988380713670575
77280370,0.8402379804964697,0.15976201950353028
11493311,0.8405907685389732,0.1594092314610268
10800485,0.8407724486554873,0.15922755134451272
10403711,0.8412011969823988,0.1587988030176012
24867483,0.8412011969823988,0.1587988030176012
69538220,0.8413468292918042,0.15865317070819585
54357487,0.841408759973867,0.158591240026133
22880808,0.84147018190789,0.15852981809210992
135459768,0.8415903531941726,0.1584096468058274
3011777,0.8416140898399784,0.15838591016002163
129561,0.8416755653667737,0.15832443463322635
502239,0.8418116348680571,0.15818836513194295
10999776,0.8418376824304354,0.1581623175695645
124577184,0.8418376824304367,0.1581623175695633
124577185,0.8418376824304367,0.1581623175695633
641066,0.8420223919061851,0.1579776080938149
5274345,0.8424087180119654,0.15759128198803465
254843,0.8424157521594352,0.15758424784056482
